x	y	intensity	time_series
2	-49	241	1
3	-49	242	2
4	-49	243	3
5	-48	243	4
6	-48	241	5
7	-48	238	6
8	-48	237	7
9	-48	238	8
10	-48	240	9
11	-48	241	10
12	-48	240	11
13	-48	239	12
14	-48	239	13
15	-48	241	14
16	-48	242	15
17	-48	242	16
18	-47	244	17
19	-47	243	18
20	-47	241	19
21	-47	240	20
22	-47	239	21
23	-47	238	22
24	-47	238	23
25	-47	238	24
26	-47	238	25
27	-47	238	26
28	-47	239	27
29	-47	239	28
30	-47	239	29
31	-47	240	30
32	-47	240	31
33	-47	241	32
34	-47	242	33
35	-47	243	34
36	-47	243	35
37	-47	242	36
38	-47	240	37
39	-47	239	38
40	-46	236	39
41	-46	235	40
42	-45	239	41
43	-44	239	42
43	-43	237	43
43	-42	238	44
43	-41	240	45
43	-40	239	46
42	-39	235	47
42	-38	239	48
41	-37	243	49
40	-36	241	50
39	-36	239	51
38	-35	238	52
37	-35	240	53
36	-34	240	54
35	-34	240	55
34	-34	241	56
33	-33	243	57
32	-33	242	58
31	-33	242	59
30	-32	242	60
29	-32	241	61
28	-31	242	62
27	-30	245	63
26	-30	245	64
25	-30	244	65
24	-30	243	66
23	-30	242	67
22	-29	241	68
21	-29	242	69
20	-29	245	70
19	-29	245	71
18	-28	245	72
17	-28	246	73
16	-27	247	74
15	-27	248	75
14	-26	242	76
13	-26	242	77
12	-26	244	78
11	-26	245	79
10	-25	245	80
9	-24	243	81
8	-24	244	82
7	-23	239	83
6	-22	240	84
5	-21	242	85
5	-20	241	86
5	-19	240	87
5	-18	238	88
5	-17	238	89
6	-16	235	90
7	-16	235	91
8	-15	245	92
9	-15	245	93
10	-14	245	94
11	-14	245	95
12	-14	245	96
13	-14	245	97
14	-14	245	98
