x	y	intensity	time_series
6	-57	240	1
7	-57	240	2
8	-57	240	3
9	-57	240	4
10	-57	240	5
11	-57	240	6
12	-57	240	7
13	-57	234	8
14	-57	234	9
15	-57	236	10
16	-57	239	11
17	-57	243	12
18	-58	218	13
19	-58	214	14
20	-58	213	15
21	-58	212	16
22	-58	212	17
23	-58	212	18
24	-58	210	19
25	-58	207	20
26	-58	204	21
27	-58	207	22
28	-58	212	23
29	-58	216	24
30	-58	215	25
31	-58	205	26
32	-59	158	27
33	-59	153	28
34	-59	152	29
35	-59	151	30
36	-59	146	31
37	-59	145	32
38	-60	147	33
39	-60	150	34
40	-60	150	35
41	-60	153	36
42	-60	156	37
43	-60	158	38
44	-60	160	39
45	-60	162	40
46	-60	159	41
47	-60	156	42
48	-59	156	43
49	-58	177	44
50	-57	212	45
50	-56	231	46
50	-55	242	47
50	-54	244	48
50	-53	247	49
50	-52	250	50
49	-51	249	51
49	-50	252	52
48	-49	252	53
47	-48	251	54
46	-47	247	55
45	-46	246	56
44	-45	247	57
43	-44	249	58
42	-44	250	59
41	-43	249	60
40	-42	248	61
39	-41	250	62
38	-41	251	63
37	-40	249	64
36	-39	249	65
35	-39	249	66
34	-38	250	67
33	-38	250	68
32	-37	248	69
31	-36	248	70
30	-35	249	71
29	-34	250	72
28	-34	250	73
27	-33	248	74
26	-33	248	75
25	-32	246	76
24	-31	247	77
23	-30	250	78
22	-29	250	79
21	-29	249	80
20	-28	249	81
19	-27	249	82
18	-26	248	83
17	-25	248	84
17	-24	248	85
16	-23	253	86
16	-22	254	87
16	-21	252	88
16	-20	249	89
15	-19	250	90
15	-18	253	91
15	-17	251	92
15	-16	250	93
16	-15	249	94
16	-14	249	95
17	-13	249	96
18	-12	251	97
19	-11	252	98
20	-11	253	99
21	-10	251	100
22	-10	248	101
23	-10	246	102
24	-10	245	103
25	-11	247	104
26	-11	248	105
27	-11	249	106
28	-11	250	107
29	-12	252	108
30	-13	253	109
