x	y	intensity	time_series
3	-51	247	1
4	-51	249	2
5	-52	252	3
6	-52	252	4
7	-52	252	5
8	-52	252	6
9	-53	252	7
10	-54	253	8
11	-55	248	9
12	-55	244	10
13	-55	245	11
14	-55	249	12
15	-56	250	13
16	-56	250	14
17	-56	247	15
18	-57	242	16
19	-57	246	17
20	-57	250	18
21	-57	251	19
22	-57	250	20
23	-56	246	21
24	-56	244	22
25	-56	244	23
26	-57	244	24
27	-57	242	25
28	-57	240	26
29	-57	238	27
30	-57	238	28
31	-57	238	29
32	-57	239	30
33	-57	240	31
34	-57	239	32
35	-57	238	33
36	-56	245	34
37	-56	246	35
38	-55	246	36
38	-54	247	37
38	-53	248	38
37	-52	248	39
37	-51	250	40
36	-50	252	41
36	-49	253	42
35	-48	253	43
34	-47	253	44
34	-46	252	45
33	-45	254	46
32	-45	254	47
31	-44	254	48
30	-43	254	49
29	-42	253	50
28	-42	253	51
27	-41	253	52
26	-40	253	53
25	-39	252	54
24	-39	252	55
23	-38	252	56
22	-37	251	57
21	-36	250	58
20	-35	249	59
19	-35	249	60
18	-34	248	61
17	-33	250	62
16	-32	252	63
15	-31	249	64
14	-30	249	65
13	-29	251	66
13	-28	254	67
13	-27	254	68
12	-26	254	69
12	-25	252	70
13	-24	250	71
13	-23	253	72
13	-22	252	73
14	-21	251	74
15	-20	251	75
16	-19	252	76
17	-19	253	77
18	-19	254	78
19	-19	254	79
20	-19	254	80
21	-19	254	81
22	-19	253	82
23	-19	252	83
24	-19	251	84
25	-19	250	85
26	-19	250	86
27	-19	249	87
28	-19	250	88
29	-20	252	89
30	-20	252	90
31	-20	253	91
32	-21	250	92
33	-21	249	93
34	-22	248	94
35	-23	251	95
36	-24	251	96
37	-25	252	97
38	-26	254	98
