x	y	intensity	time_series
2	-52	234	1
3	-52	235	2
4	-52	235	3
5	-52	236	4
6	-52	234	5
7	-52	235	6
8	-52	236	7
9	-52	236	8
10	-52	237	9
11	-52	236	10
12	-52	235	11
13	-52	233	12
14	-52	232	13
15	-52	232	14
16	-52	233	15
17	-52	233	16
18	-52	232	17
19	-52	230	18
20	-52	229	19
21	-52	229	20
22	-52	231	21
23	-52	233	22
24	-52	236	23
25	-52	238	24
26	-52	237	25
27	-52	236	26
28	-52	237	27
29	-52	237	28
30	-52	236	29
31	-52	235	30
32	-52	234	31
33	-52	232	32
34	-53	231	33
35	-53	230	34
36	-53	230	35
37	-53	229	36
38	-53	233	37
39	-53	237	38
40	-53	239	39
41	-53	239	40
42	-54	235	41
43	-54	232	42
44	-54	231	43
45	-54	232	44
46	-54	232	45
47	-53	230	46
48	-52	231	47
48	-51	229	48
48	-50	233	49
47	-49	239	50
47	-48	242	51
46	-47	236	52
45	-46	233	53
44	-46	233	54
43	-46	234	55
42	-45	237	56
41	-44	236	57
40	-44	236	58
39	-43	235	59
38	-43	235	60
37	-43	235	61
36	-42	235	62
35	-42	237	63
34	-41	238	64
33	-41	237	65
32	-41	234	66
31	-40	232	67
30	-40	233	68
29	-40	236	69
28	-39	239	70
27	-39	238	71
26	-38	238	72
25	-38	238	73
24	-38	236	74
23	-37	237	75
22	-37	237	76
21	-36	240	77
20	-36	239	78
19	-36	238	79
18	-36	237	80
17	-35	235	81
16	-34	233	82
15	-34	235	83
14	-33	239	84
13	-33	239	85
12	-32	236	86
11	-32	234	87
10	-31	237	88
9	-30	242	89
9	-29	243	90
8	-28	240	91
7	-27	236	92
7	-26	234	93
7	-25	236	94
7	-24	240	95
7	-23	238	96
7	-22	233	97
8	-21	235	98
9	-21	236	99
10	-20	237	100
11	-20	236	101
12	-20	236	102
13	-19	236	103
14	-19	237	104
15	-19	238	105
16	-18	239	106
17	-18	237	107
18	-18	239	108
19	-18	239	109
20	-18	238	110
21	-18	236	111
22	-18	235	112
23	-18	235	113
24	-18	238	114
25	-19	244	115
26	-19	243	116
27	-20	235	117
28	-20	235	118
29	-20	236	119
30	-20	236	120
