x	y	intensity	time_series
4	-41	243	1
5	-42	244	2
6	-42	240	3
7	-43	241	4
8	-43	243	5
9	-43	245	6
10	-44	244	7
11	-44	243	8
12	-44	244	9
13	-45	244	10
14	-45	247	11
15	-46	246	12
16	-46	243	13
17	-46	243	14
18	-46	245	15
19	-47	249	16
20	-47	249	17
21	-48	246	18
22	-48	244	19
23	-48	243	20
24	-48	244	21
25	-48	245	22
26	-49	247	23
27	-49	245	24
28	-49	243	25
29	-49	242	26
30	-49	241	27
31	-49	243	28
32	-49	245	29
33	-49	246	30
34	-49	245	31
35	-49	244	32
36	-48	242	33
36	-47	242	34
36	-46	240	35
36	-45	235	36
35	-44	242	37
35	-43	248	38
35	-42	248	39
35	-41	245	40
34	-40	241	41
33	-39	242	42
32	-38	246	43
31	-37	245	44
30	-36	239	45
29	-35	235	46
29	-34	237	47
28	-33	241	48
27	-32	239	49
26	-31	238	50
25	-30	240	51
24	-29	242	52
23	-28	241	53
22	-27	240	54
22	-26	242	55
21	-25	244	56
20	-24	244	57
19	-23	242	58
18	-22	243	59
17	-21	243	60
16	-20	241	61
16	-19	241	62
15	-18	241	63
14	-17	244	64
13	-16	245	65
12	-15	247	66
11	-14	249	67
11	-13	246	68
11	-12	245	69
11	-11	244	70
10	-10	240	71
10	-9	241	72
10	-8	246	73
10	-7	247	74
10	-6	247	75
11	-5	244	76
12	-5	240	77
13	-5	239	78
14	-5	241	79
15	-5	245	80
16	-5	249	81
17	-5	247	82
18	-5	244	83
19	-6	244	84
20	-6	245	85
21	-7	246	86
22	-7	246	87
23	-8	245	88
24	-8	244	89
25	-9	245	90
26	-9	246	91
27	-10	246	92
28	-10	246	93
29	-11	247	94
30	-12	247	95
31	-12	247	96
32	-13	247	97
