x	y	intensity	time_series
4	-45	247	1
5	-45	248	2
6	-45	248	3
7	-45	247	4
8	-45	246	5
9	-45	245	6
10	-45	244	7
11	-45	244	8
12	-45	245	9
13	-45	249	10
14	-46	247	11
15	-46	245	12
16	-46	243	13
17	-46	241	14
18	-46	240	15
19	-46	239	16
20	-46	238	17
21	-46	238	18
22	-46	238	19
23	-46	241	20
24	-47	244	21
25	-47	245	22
26	-47	246	23
27	-47	245	24
28	-47	244	25
29	-48	241	26
30	-48	241	27
31	-48	244	28
32	-48	245	29
33	-48	244	30
34	-48	243	31
35	-49	242	32
36	-48	242	33
37	-48	243	34
38	-47	248	35
37	-46	250	36
37	-45	251	37
37	-44	249	38
37	-43	246	39
36	-42	245	40
36	-41	246	41
36	-40	247	42
35	-39	246	43
34	-38	242	44
33	-37	244	45
33	-36	247	46
32	-35	247	47
31	-34	248	48
30	-33	248	49
30	-32	247	50
29	-31	243	51
28	-30	241	52
27	-29	241	53
27	-28	242	54
26	-27	245	55
26	-26	246	56
25	-25	248	57
24	-24	249	58
24	-23	249	59
23	-22	248	60
23	-21	248	61
23	-20	247	62
23	-19	247	63
23	-18	247	64
22	-17	245	65
22	-16	246	66
22	-15	245	67
23	-14	243	68
23	-13	243	69
23	-12	246	70
24	-11	250	71
24	-10	250	72
25	-9	249	73
26	-8	248	74
27	-8	249	75
28	-7	247	76
29	-7	246	77
30	-7	246	78
31	-7	246	79
32	-7	246	80
33	-8	245	81
34	-8	245	82
35	-9	243	83
35	-10	239	84
36	-11	236	85
36	-12	235	86
36	-13	236	87
