x	y	intensity	time_series
3	-60	131	1
4	-60	135	2
5	-60	130	3
6	-60	133	4
7	-60	135	5
8	-60	134	6
9	-60	133	7
10	-59	133	8
11	-59	130	9
12	-59	130	10
13	-59	135	11
14	-59	144	12
15	-58	182	13
16	-58	190	14
17	-58	193	15
18	-58	190	16
19	-58	195	17
20	-58	206	18
21	-57	246	19
22	-57	250	20
23	-57	248	21
24	-57	249	22
25	-57	250	23
26	-57	251	24
27	-57	251	25
28	-57	251	26
29	-57	249	27
30	-57	246	28
31	-56	247	29
32	-56	244	30
33	-55	246	31
33	-54	250	32
33	-53	252	33
33	-52	252	34
32	-51	253	35
32	-50	253	36
32	-49	253	37
31	-48	252	38
30	-47	252	39
29	-46	252	40
29	-45	251	41
28	-44	250	42
27	-43	249	43
26	-43	252	44
25	-42	252	45
24	-41	249	46
23	-40	249	47
22	-39	250	48
21	-39	250	49
20	-38	253	50
19	-37	253	51
18	-36	252	52
17	-35	250	53
16	-34	251	54
15	-33	253	55
14	-32	251	56
13	-31	249	57
13	-30	251	58
12	-29	253	59
11	-28	253	60
11	-27	253	61
11	-26	253	62
11	-25	253	63
11	-24	252	64
11	-23	250	65
12	-22	250	66
12	-21	253	67
13	-20	252	68
14	-20	251	69
15	-20	251	70
16	-19	252	71
17	-19	253	72
18	-19	253	73
19	-19	253	74
20	-20	251	75
21	-20	251	76
