x	y	intensity	time_series
6	-36	247	1
7	-37	247	2
8	-38	243	3
9	-38	244	4
10	-39	245	5
11	-40	244	6
12	-40	244	7
13	-41	241	8
14	-42	240	9
15	-43	243	10
16	-43	243	11
17	-44	247	12
18	-45	249	13
19	-45	248	14
20	-46	249	15
21	-46	247	16
22	-47	247	17
23	-47	247	18
24	-48	248	19
25	-49	249	20
26	-49	250	21
27	-50	251	22
28	-50	249	23
29	-51	249	24
30	-52	250	25
31	-52	250	26
32	-53	249	27
33	-53	248	28
34	-54	248	29
35	-54	246	30
36	-55	242	31
37	-55	241	32
38	-55	242	33
39	-56	239	34
40	-57	241	35
41	-57	243	36
42	-57	243	37
43	-57	241	38
44	-57	237	39
45	-58	206	40
46	-58	197	41
47	-58	191	42
48	-57	216	43
49	-56	237	44
48	-55	245	45
48	-54	247	46
48	-53	248	47
48	-52	248	48
47	-51	248	49
47	-50	249	50
47	-49	250	51
46	-48	249	52
46	-47	248	53
45	-46	245	54
44	-45	243	55
43	-44	241	56
42	-43	240	57
41	-42	240	58
41	-41	241	59
40	-40	242	60
39	-39	245	61
39	-38	247	62
38	-37	248	63
37	-36	250	64
36	-35	250	65
35	-34	247	66
35	-33	247	67
34	-32	249	68
33	-31	250	69
32	-30	251	70
31	-29	250	71
30	-28	250	72
30	-27	250	73
29	-26	250	74
28	-25	252	75
28	-24	249	76
27	-23	248	77
27	-22	247	78
26	-21	247	79
26	-20	246	80
26	-19	247	81
26	-18	249	82
26	-17	250	83
25	-16	248	84
25	-15	246	85
25	-14	247	86
26	-13	248	87
26	-12	249	88
26	-11	250	89
27	-10	251	90
27	-9	252	91
28	-8	249	92
28	-7	250	93
29	-6	252	94
30	-6	252	95
31	-5	252	96
32	-5	252	97
33	-5	252	98
34	-5	251	99
35	-5	251	100
36	-5	251	101
37	-5	251	102
38	-5	249	103
39	-6	249	104
40	-6	249	105
41	-6	249	106
42	-6	248	107
43	-7	249	108
44	-8	250	109
