x	y	intensity	time_series
5	-55	242	1
6	-55	237	2
7	-55	236	3
8	-55	242	4
9	-55	243	5
10	-55	242	6
11	-55	244	7
12	-55	239	8
13	-55	237	9
14	-55	237	10
15	-55	237	11
16	-55	237	12
17	-55	238	13
18	-55	239	14
19	-54	242	15
20	-54	242	16
21	-54	242	17
22	-54	242	18
23	-54	240	19
24	-54	237	20
25	-54	237	21
26	-53	236	22
27	-53	237	23
28	-53	238	24
29	-53	237	25
30	-52	237	26
31	-51	237	27
32	-50	236	28
32	-49	233	29
32	-48	230	30
32	-47	227	31
31	-46	226	32
31	-45	224	33
30	-44	226	34
29	-43	228	35
28	-42	230	36
27	-41	229	37
26	-40	228	38
25	-40	230	39
24	-40	233	40
23	-39	232	41
22	-38	235	42
21	-37	235	43
20	-36	235	44
19	-35	238	45
18	-34	242	46
17	-34	244	47
16	-33	245	48
15	-32	243	49
14	-31	241	50
13	-30	239	51
12	-29	240	52
11	-28	241	53
10	-27	242	54
10	-26	243	55
9	-25	246	56
8	-24	245	57
8	-23	242	58
8	-22	240	59
8	-21	242	60
8	-20	242	61
8	-19	241	62
8	-18	240	63
9	-17	239	64
10	-16	243	65
10	-15	245	66
11	-14	245	67
12	-14	246	68
13	-13	241	69
14	-13	237	70
15	-13	234	71
16	-13	234	72
17	-13	235	73
18	-13	238	74
19	-13	239	75
20	-13	239	76
21	-13	238	77
22	-14	229	78
23	-14	224	79
24	-15	222	80
25	-16	225	81
26	-16	225	82
27	-17	227	83
28	-18	230	84
29	-19	232	85
