x	y	intensity	time_series
7	-45	250	1
8	-45	251	2
9	-45	251	3
10	-45	251	4
11	-45	249	5
12	-44	246	6
13	-44	247	7
14	-45	244	8
15	-45	243	9
16	-45	243	10
17	-45	245	11
18	-45	247	12
19	-44	248	13
20	-44	249	14
21	-44	251	15
22	-44	251	16
23	-44	251	17
24	-45	249	18
25	-45	249	19
26	-45	247	20
27	-45	247	21
28	-45	247	22
29	-45	247	23
30	-45	247	24
31	-45	248	25
32	-45	249	26
33	-46	250	27
34	-46	251	28
35	-46	251	29
36	-46	251	30
37	-46	251	31
38	-46	251	32
39	-46	251	33
40	-46	251	34
41	-47	251	35
42	-47	251	36
43	-48	249	37
44	-48	248	38
45	-48	247	39
46	-48	248	40
47	-49	251	41
48	-49	250	42
49	-49	250	43
50	-48	249	44
51	-48	248	45
52	-48	248	46
53	-48	248	47
54	-48	248	48
55	-47	248	49
55	-46	248	50
55	-45	249	51
55	-44	250	52
55	-43	251	53
55	-42	249	54
55	-41	249	55
54	-40	251	56
53	-39	251	57
52	-38	248	58
51	-38	245	59
50	-37	248	60
49	-36	252	61
48	-36	250	62
47	-35	246	63
46	-34	247	64
45	-34	248	65
44	-33	250	66
43	-32	251	67
42	-32	252	68
41	-32	252	69
40	-31	246	70
39	-30	249	71
38	-30	251	72
37	-29	253	73
36	-29	253	74
35	-28	253	75
34	-28	251	76
33	-28	248	77
32	-27	249	78
31	-27	249	79
30	-26	249	80
29	-26	249	81
28	-25	252	82
27	-24	252	83
26	-23	251	84
25	-23	252	85
24	-23	251	86
23	-22	251	87
22	-21	244	88
21	-21	243	89
20	-20	244	90
20	-19	247	91
19	-18	249	92
19	-17	250	93
19	-16	249	94
19	-15	246	95
18	-14	246	96
18	-13	247	97
18	-12	248	98
18	-11	246	99
19	-10	249	100
19	-9	251	101
20	-8	252	102
21	-7	251	103
22	-7	250	104
23	-6	249	105
24	-6	250	106
25	-6	251	107
26	-6	250	108
27	-6	249	109
28	-6	248	110
29	-7	252	111
30	-7	251	112
31	-7	249	113
32	-7	247	114
33	-7	244	115
34	-7	242	116
35	-7	241	117
36	-7	244	118
37	-8	243	119
38	-8	240	120
39	-8	239	121
40	-9	243	122
41	-9	245	123
42	-10	248	124
43	-11	248	125
