x	y	intensity	time_series
15	-57	238	1
15	-58	230	2
15	-59	220	3
16	-60	215	4
16	-61	208	5
17	-62	173	6
18	-63	138	7
19	-63	138	8
20	-64	140	9
21	-64	139	10
22	-65	136	11
23	-65	136	12
24	-66	180	13
25	-66	197	14
26	-67	232	15
27	-67	237	16
28	-68	241	17
29	-69	237	18
30	-69	234	19
31	-69	231	20
32	-69	232	21
33	-70	232	22
34	-70	235	23
35	-70	237	24
36	-70	238	25
37	-71	239	26
38	-71	237	27
39	-71	239	28
40	-71	241	29
41	-72	241	30
42	-72	241	31
43	-72	240	32
44	-72	239	33
45	-72	240	34
46	-72	241	35
47	-73	231	36
48	-73	232	37
49	-73	234	38
50	-73	235	39
51	-73	235	40
52	-73	235	41
53	-74	233	42
54	-74	228	43
55	-74	214	44
56	-74	204	45
57	-74	188	46
58	-74	169	47
59	-73	172	48
60	-73	153	49
61	-73	142	50
62	-73	140	51
63	-73	143	52
64	-72	140	53
65	-72	143	54
66	-71	135	55
67	-71	131	56
68	-71	130	57
69	-70	137	58
70	-69	140	59
70	-68	142	60
70	-67	138	61
70	-66	139	62
70	-65	141	63
69	-64	137	64
69	-63	135	65
69	-62	146	66
68	-61	157	67
67	-60	162	68
67	-59	150	69
66	-58	145	70
65	-57	147	71
64	-56	150	72
63	-55	153	73
62	-54	155	74
61	-53	161	75
60	-52	181	76
59	-51	205	77
58	-50	228	78
57	-50	227	79
56	-49	238	80
55	-49	239	81
54	-48	243	82
53	-47	245	83
52	-47	245	84
51	-46	248	85
50	-45	250	86
49	-45	251	87
48	-44	249	88
47	-44	248	89
46	-43	244	90
45	-43	243	91
44	-42	244	92
43	-42	245	93
42	-41	247	94
41	-41	248	95
40	-40	250	96
39	-40	249	97
38	-39	247	98
37	-38	245	99
36	-38	244	100
35	-38	245	101
34	-37	244	102
33	-36	243	103
32	-36	243	104
31	-35	245	105
30	-35	245	106
29	-35	245	107
28	-34	244	108
27	-34	243	109
26	-33	244	110
25	-33	243	111
24	-33	240	112
23	-32	237	113
22	-32	233	114
21	-31	233	115
20	-31	227	116
19	-31	222	117
18	-30	228	118
17	-30	229	119
16	-29	239	120
15	-28	245	121
14	-28	245	122
13	-27	245	123
12	-26	245	124
11	-26	245	125
10	-25	245	126
9	-24	245	127
8	-23	245	128
8	-22	245	129
8	-21	245	130
8	-20	245	131
7	-19	243	132
7	-18	240	133
7	-17	243	134
8	-16	244	135
8	-15	244	136
8	-14	244	137
9	-13	242	138
10	-12	239	139
11	-12	242	140
12	-11	243	141
13	-11	242	142
14	-10	244	143
15	-10	246	144
16	-9	247	145
17	-9	247	146
18	-9	246	147
19	-9	246	148
20	-8	245	149
21	-8	246	150
22	-8	248	151
23	-8	249	152
24	-8	249	153
25	-8	249	154
26	-8	249	155
27	-8	248	156
28	-8	248	157
29	-8	247	158
30	-9	247	159
31	-9	247	160
32	-9	247	161
33	-9	242	162
34	-10	244	163
35	-10	244	164
36	-11	246	165
37	-12	243	166
38	-13	242	167
39	-14	246	168
39	-15	245	169
39	-16	246	170
40	-17	243	171
40	-18	242	172
41	-19	243	173
41	-20	245	174
41	-21	245	175
