x	y	intensity	time_series
9	-48	247	1
10	-49	247	2
11	-50	251	3
12	-51	251	4
13	-52	249	5
14	-52	248	6
15	-53	247	7
16	-54	247	8
17	-54	247	9
18	-54	248	10
19	-55	246	11
20	-55	248	12
21	-56	244	13
22	-56	243	14
23	-57	246	15
24	-57	246	16
25	-57	244	17
26	-57	240	18
27	-57	237	19
28	-58	217	20
29	-58	218	21
30	-58	219	22
31	-58	215	23
32	-58	207	24
33	-58	202	25
34	-59	167	26
35	-59	169	27
36	-59	170	28
37	-59	166	29
38	-59	156	30
39	-59	152	31
40	-59	153	32
41	-59	154	33
42	-59	148	34
43	-60	143	35
44	-60	142	36
45	-60	141	37
46	-60	139	38
47	-59	147	39
48	-58	166	40
49	-57	195	41
48	-56	224	42
48	-55	238	43
47	-54	244	44
47	-53	245	45
46	-52	246	46
45	-51	247	47
44	-51	247	48
43	-50	247	49
42	-50	247	50
41	-49	249	51
40	-48	249	52
39	-47	249	53
38	-47	249	54
37	-46	249	55
36	-46	248	56
35	-45	246	57
34	-45	246	58
33	-44	246	59
32	-43	248	60
31	-43	247	61
30	-42	247	62
29	-41	248	63
28	-40	250	64
27	-40	251	65
26	-39	251	66
25	-38	251	67
24	-38	251	68
23	-37	250	69
22	-36	251	70
21	-35	250	71
20	-34	250	72
19	-33	250	73
18	-32	249	74
18	-31	248	75
18	-30	247	76
17	-29	248	77
17	-28	250	78
17	-27	251	79
17	-26	251	80
17	-25	252	81
17	-24	251	82
17	-23	251	83
18	-22	251	84
19	-21	251	85
20	-21	251	86
21	-21	251	87
