x	y	intensity	time_series
1	-33	250	1
1	-34	245	2
1	-35	245	3
1	-36	247	4
2	-37	250	5
3	-38	247	6
3	-39	247	7
4	-40	248	8
5	-41	247	9
6	-42	248	10
7	-42	247	11
8	-43	243	12
9	-43	243	13
10	-44	241	14
11	-44	241	15
12	-44	243	16
13	-44	245	17
14	-45	245	18
15	-45	245	19
16	-45	245	20
17	-46	247	21
18	-46	245	22
19	-46	243	23
20	-46	240	24
21	-46	243	25
22	-47	243	26
23	-47	242	27
24	-48	240	28
25	-49	242	29
26	-49	244	30
27	-49	246	31
28	-50	245	32
29	-50	244	33
30	-50	243	34
31	-50	244	35
32	-50	245	36
33	-51	245	37
34	-51	245	38
35	-51	246	39
36	-52	247	40
37	-52	247	41
38	-52	247	42
39	-52	246	43
40	-52	244	44
41	-52	245	45
42	-52	247	46
43	-52	247	47
44	-51	243	48
44	-50	242	49
44	-49	243	50
44	-48	245	51
43	-47	247	52
43	-46	247	53
43	-45	247	54
42	-44	249	55
41	-43	250	56
40	-42	249	57
39	-41	247	58
38	-41	247	59
37	-40	248	60
36	-39	249	61
35	-39	249	62
34	-38	250	63
33	-37	251	64
32	-37	251	65
31	-36	252	66
30	-35	252	67
29	-35	251	68
28	-34	251	69
27	-34	250	70
26	-33	248	71
25	-32	243	72
24	-32	243	73
23	-31	245	74
22	-31	248	75
21	-30	249	76
20	-29	245	77
19	-29	246	78
18	-28	245	79
17	-28	245	80
16	-28	246	81
15	-27	247	82
14	-27	248	83
13	-26	247	84
12	-26	247	85
11	-25	248	86
10	-24	248	87
9	-24	248	88
8	-23	249	89
7	-22	247	90
6	-22	248	91
5	-21	248	92
4	-20	249	93
4	-19	249	94
4	-18	247	95
4	-17	246	96
3	-16	246	97
3	-15	246	98
3	-14	244	99
3	-13	241	100
4	-12	241	101
5	-11	244	102
6	-11	249	103
7	-11	251	104
8	-10	248	105
9	-10	246	106
10	-9	248	107
11	-9	245	108
12	-9	246	109
13	-9	248	110
14	-8	249	111
15	-8	250	112
16	-8	250	113
17	-8	248	114
18	-8	247	115
19	-8	246	116
20	-8	245	117
21	-8	245	118
22	-8	244	119
23	-9	246	120
24	-9	247	121
25	-9	248	122
26	-9	250	123
27	-9	250	124
28	-10	249	125
29	-10	250	126
30	-10	251	127
31	-10	250	128
32	-11	251	129
33	-12	251	130
34	-13	251	131
