x	y	intensity	time_series
3	-60	127	1
4	-60	130	2
5	-60	134	3
6	-60	136	4
7	-60	135	5
8	-60	131	6
9	-60	132	7
10	-60	135	8
11	-60	135	9
12	-60	132	10
13	-60	121	11
14	-60	123	12
15	-60	126	13
16	-60	126	14
17	-60	118	15
18	-60	117	16
19	-60	120	17
20	-59	132	18
20	-58	161	19
20	-57	209	20
20	-56	230	21
19	-55	239	22
19	-54	244	23
18	-53	245	24
18	-52	241	25
17	-51	243	26
16	-50	245	27
15	-49	243	28
14	-48	238	29
13	-47	236	30
12	-46	232	31
11	-45	238	32
10	-44	245	33
10	-43	245	34
9	-42	245	35
8	-41	245	36
8	-40	245	37
7	-39	245	38
7	-38	245	39
6	-37	245	40
6	-36	245	41
5	-35	245	42
5	-34	245	43
5	-33	245	44
5	-32	245	45
5	-31	245	46
5	-30	245	47
5	-29	245	48
5	-28	245	49
5	-27	245	50
5	-26	245	51
5	-25	245	52
6	-24	245	53
7	-23	245	54
8	-22	244	55
9	-21	240	56
10	-21	241	57
11	-21	242	58
