x	y	intensity	time_series
46	-64	136	1
45	-64	133	2
44	-64	129	3
43	-64	130	4
42	-64	133	5
41	-64	137	6
40	-63	147	7
39	-63	148	8
38	-63	150	9
37	-62	156	10
36	-62	158	11
35	-61	187	12
34	-60	223	13
33	-59	244	14
33	-58	245	15
32	-57	244	16
31	-56	247	17
30	-55	246	18
29	-54	246	19
28	-53	245	20
27	-52	244	21
26	-52	242	22
25	-51	242	23
24	-51	242	24
23	-50	244	25
22	-50	246	26
21	-49	249	27
20	-48	249	28
19	-48	248	29
18	-47	248	30
17	-46	246	31
16	-45	244	32
15	-44	242	33
14	-43	243	34
14	-42	244	35
13	-41	246	36
13	-40	247	37
13	-39	249	38
12	-38	250	39
12	-37	250	40
12	-36	249	41
12	-35	248	42
11	-34	247	43
11	-33	247	44
10	-32	248	45
10	-31	247	46
10	-30	246	47
9	-29	246	48
8	-29	247	49
7	-28	245	50
7	-27	245	51
7	-26	244	52
6	-25	244	53
6	-24	245	54
6	-23	245	55
6	-22	245	56
6	-21	245	57
6	-20	245	58
5	-19	245	59
5	-18	245	60
5	-17	245	61
6	-16	246	62
6	-15	250	63
6	-14	250	64
6	-13	246	65
7	-12	247	66
7	-11	246	67
8	-10	245	68
9	-9	244	69
10	-9	243	70
11	-8	243	71
12	-7	243	72
13	-7	242	73
14	-7	241	74
15	-6	241	75
16	-6	239	76
17	-6	238	77
18	-6	237	78
19	-6	236	79
20	-6	234	80
21	-7	231	81
22	-7	234	82
23	-7	234	83
24	-7	232	84
25	-7	231	85
26	-8	231	86
27	-8	234	87
28	-9	240	88
29	-9	241	89
30	-10	241	90
31	-11	244	91
32	-12	245	92
33	-13	245	93
33	-14	245	94
34	-15	245	95
34	-16	244	96
34	-17	245	97
34	-18	245	98
34	-19	245	99
35	-20	245	100
