x	y	intensity	time_series
19	-50	239	1
20	-50	243	2
21	-50	245	3
22	-51	239	4
23	-51	239	5
24	-51	237	6
25	-52	231	7
26	-53	227	8
27	-54	231	9
28	-55	234	10
29	-55	231	11
30	-56	233	12
31	-56	231	13
32	-57	222	14
33	-58	202	15
34	-58	188	16
35	-58	169	17
36	-59	120	18
37	-59	121	19
38	-60	130	20
39	-60	129	21
40	-60	126	22
41	-61	124	23
42	-61	130	24
43	-61	137	25
44	-62	189	26
45	-62	202	27
46	-62	210	28
47	-62	213	29
48	-62	212	30
49	-63	222	31
50	-63	222	32
51	-63	222	33
52	-64	217	34
53	-64	206	35
54	-64	194	36
55	-64	185	37
56	-64	179	38
57	-64	177	39
58	-64	174	40
59	-64	171	41
60	-64	170	42
61	-63	162	43
61	-62	166	44
61	-61	161	45
60	-60	164	46
60	-59	164	47
60	-58	157	48
59	-57	159	49
58	-56	158	50
57	-55	157	51
56	-55	155	52
55	-54	149	53
54	-54	144	54
53	-53	182	55
52	-52	222	56
51	-51	242	57
50	-51	243	58
49	-50	240	59
48	-50	241	60
47	-49	246	61
46	-49	246	62
45	-48	250	63
44	-47	249	64
43	-47	246	65
42	-47	243	66
41	-46	243	67
40	-46	242	68
39	-46	244	69
38	-45	246	70
37	-44	246	71
36	-44	243	72
35	-44	239	73
34	-43	236	74
33	-43	235	75
32	-42	235	76
31	-42	233	77
30	-42	232	78
29	-42	229	79
28	-41	232	80
27	-41	232	81
26	-40	230	82
25	-40	234	83
24	-40	234	84
23	-39	227	85
22	-38	221	86
21	-38	225	87
20	-38	230	88
19	-38	232	89
18	-37	233	90
17	-36	233	91
16	-36	230	92
15	-36	230	93
14	-35	232	94
13	-34	235	95
12	-34	237	96
11	-33	239	97
11	-32	238	98
10	-31	235	99
9	-30	237	100
8	-29	239	101
7	-28	241	102
7	-27	243	103
6	-26	247	104
6	-25	245	105
7	-24	245	106
7	-23	250	107
7	-22	253	108
8	-21	250	109
9	-20	249	110
10	-20	249	111
11	-20	248	112
12	-19	247	113
13	-19	246	114
14	-20	247	115
15	-20	248	116
16	-20	249	117
17	-21	248	118
