x	y	intensity	time_series
2	-45	230	1
3	-45	231	2
4	-45	232	3
5	-45	234	4
6	-45	234	5
7	-45	233	6
8	-45	232	7
9	-45	230	8
10	-45	230	9
11	-45	231	10
12	-45	234	11
13	-45	238	12
14	-46	241	13
15	-46	242	14
16	-46	241	15
17	-46	241	16
18	-46	241	17
19	-47	245	18
20	-47	244	19
21	-47	246	20
22	-47	247	21
23	-47	246	22
24	-47	245	23
25	-48	242	24
26	-48	241	25
27	-48	240	26
28	-48	240	27
29	-48	239	28
30	-48	239	29
31	-48	240	30
32	-48	243	31
33	-49	243	32
34	-49	243	33
35	-49	244	34
36	-49	244	35
37	-49	243	36
38	-50	240	37
39	-50	239	38
40	-50	241	39
41	-50	243	40
42	-50	245	41
43	-50	244	42
44	-50	242	43
45	-50	241	44
46	-50	241	45
47	-50	240	46
48	-49	241	47
49	-48	241	48
50	-47	240	49
50	-46	240	50
50	-45	239	51
50	-44	241	52
49	-43	239	53
48	-42	236	54
48	-41	231	55
47	-40	225	56
46	-40	224	57
45	-39	226	58
44	-38	230	59
43	-37	235	60
42	-36	238	61
41	-35	240	62
40	-35	240	63
39	-34	239	64
38	-34	239	65
37	-33	239	66
36	-32	240	67
35	-31	241	68
34	-31	239	69
33	-30	239	70
32	-29	240	71
31	-28	242	72
30	-27	243	73
29	-26	244	74
28	-25	243	75
27	-24	242	76
26	-23	241	77
25	-23	241	78
24	-22	243	79
23	-22	242	80
22	-21	242	81
22	-20	240	82
21	-19	238	83
20	-18	241	84
19	-17	240	85
19	-16	240	86
19	-15	240	87
18	-14	244	88
18	-13	245	89
18	-12	243	90
19	-11	241	91
19	-10	238	92
20	-9	238	93
21	-8	239	94
22	-8	238	95
23	-8	237	96
24	-8	237	97
25	-8	236	98
26	-8	237	99
27	-9	237	100
28	-9	238	101
29	-10	240	102
