x	y	intensity	time_series
1	-56	245	1
2	-56	245	2
3	-56	245	3
4	-56	245	4
5	-56	245	5
6	-55	245	6
7	-55	245	7
8	-55	245	8
9	-55	245	9
10	-55	245	10
11	-55	245	11
12	-55	245	12
13	-56	245	13
14	-56	245	14
15	-56	245	15
16	-57	245	16
17	-57	245	17
18	-57	245	18
19	-57	245	19
20	-58	219	20
21	-58	204	21
22	-58	195	22
23	-58	179	23
24	-59	127	24
25	-59	125	25
26	-59	126	26
27	-60	124	27
28	-60	126	28
29	-60	128	29
30	-60	130	30
31	-61	137	31
32	-61	133	32
33	-61	139	33
34	-62	176	34
35	-62	183	35
36	-62	192	36
37	-62	200	37
38	-63	216	38
39	-63	215	39
40	-63	212	40
41	-63	208	41
42	-63	205	42
43	-63	199	43
44	-63	186	44
45	-63	170	45
46	-63	157	46
47	-63	151	47
48	-62	149	48
49	-61	147	49
48	-60	149	50
48	-59	152	51
47	-58	150	52
47	-57	147	53
47	-56	141	54
46	-55	143	55
46	-54	152	56
45	-53	168	57
44	-53	170	58
43	-52	205	59
42	-51	233	60
41	-50	246	61
40	-49	249	62
39	-48	250	63
38	-48	250	64
37	-47	249	65
36	-46	249	66
35	-45	248	67
34	-45	247	68
33	-44	246	69
32	-43	242	70
31	-42	246	71
30	-42	245	72
29	-41	245	73
28	-40	245	74
27	-40	245	75
26	-39	245	76
25	-39	244	77
24	-38	245	78
23	-37	245	79
22	-37	245	80
21	-36	243	81
20	-35	242	82
19	-35	247	83
18	-34	245	84
17	-34	245	85
16	-33	245	86
15	-32	245	87
14	-31	245	88
13	-30	245	89
12	-29	245	90
11	-28	245	91
10	-27	245	92
9	-26	245	93
9	-25	245	94
9	-24	245	95
8	-23	237	96
8	-22	243	97
8	-21	249	98
8	-20	252	99
9	-19	253	100
10	-18	249	101
11	-17	245	102
12	-17	244	103
13	-16	245	104
14	-16	244	105
15	-16	243	106
16	-15	239	107
17	-15	240	108
18	-15	243	109
19	-15	245	110
20	-15	246	111
21	-16	244	112
22	-16	243	113
23	-16	240	114
24	-16	240	115
25	-16	241	116
26	-16	241	117
27	-16	239	118
28	-17	238	119
29	-17	239	120
30	-17	240	121
31	-17	240	122
32	-18	240	123
33	-19	246	124
34	-20	250	125
35	-20	249	126
36	-21	249	127
37	-22	249	128
38	-23	250	129
38	-24	247	130
39	-25	248	131
