x	y	intensity	time_series
9	-53	252	1
10	-53	251	2
11	-54	251	3
12	-54	251	4
13	-54	251	5
14	-54	251	6
15	-54	251	7
16	-55	253	8
17	-55	254	9
18	-55	254	10
19	-56	251	11
20	-56	249	12
21	-56	251	13
22	-56	254	14
23	-56	250	15
24	-56	247	16
25	-56	243	17
26	-57	237	18
27	-57	237	19
28	-57	236	20
29	-58	228	21
30	-58	218	22
31	-58	212	23
32	-58	215	24
33	-58	226	25
34	-58	223	26
35	-58	216	27
36	-58	208	28
37	-58	197	29
38	-59	155	30
39	-59	155	31
40	-59	162	32
41	-59	167	33
42	-59	153	34
43	-59	149	35
44	-59	148	36
45	-59	149	37
46	-59	151	38
47	-60	137	39
48	-60	133	40
49	-60	134	41
50	-60	141	42
51	-60	150	43
52	-60	151	44
53	-60	149	45
54	-60	145	46
55	-60	143	47
56	-60	144	48
57	-60	147	49
58	-60	147	50
59	-59	159	51
60	-59	165	52
61	-59	171	53
62	-59	170	54
63	-59	164	55
64	-59	159	56
65	-59	155	57
66	-59	151	58
67	-59	147	59
68	-59	148	60
69	-58	197	61
70	-58	212	62
71	-58	222	63
72	-57	246	64
73	-56	252	65
73	-55	252	66
73	-54	254	67
72	-53	252	68
72	-52	252	69
71	-51	252	70
70	-51	253	71
69	-50	251	72
68	-50	251	73
67	-50	251	74
66	-49	253	75
65	-48	251	76
64	-48	247	77
63	-48	244	78
62	-47	246	79
61	-47	249	80
60	-47	250	81
59	-46	250	82
58	-46	250	83
57	-46	251	84
56	-45	250	85
55	-45	249	86
54	-45	248	87
53	-45	248	88
52	-44	253	89
51	-43	252	90
50	-43	252	91
49	-42	252	92
48	-42	252	93
47	-42	253	94
46	-41	253	95
45	-41	253	96
44	-40	253	97
43	-40	253	98
42	-40	254	99
41	-40	251	100
40	-40	251	101
39	-39	251	102
38	-39	251	103
37	-39	252	104
36	-39	253	105
35	-39	254	106
34	-38	252	107
33	-38	252	108
32	-37	248	109
31	-37	250	110
30	-37	251	111
29	-37	252	112
28	-37	252	113
27	-37	251	114
26	-37	250	115
25	-36	251	116
24	-36	251	117
23	-36	251	118
22	-35	254	119
21	-35	250	120
20	-34	251	121
19	-34	252	122
18	-33	254	123
17	-32	254	124
16	-32	254	125
15	-32	254	126
14	-31	252	127
13	-31	252	128
12	-30	250	129
11	-30	250	130
10	-29	248	131
9	-28	251	132
9	-27	253	133
8	-26	253	134
8	-25	254	135
8	-24	253	136
8	-23	251	137
7	-22	250	138
7	-21	250	139
8	-20	253	140
8	-19	254	141
8	-18	254	142
8	-17	252	143
9	-16	247	144
10	-16	246	145
11	-15	250	146
12	-14	253	147
13	-13	253	148
14	-13	250	149
15	-12	250	150
16	-11	252	151
17	-11	251	152
18	-10	252	153
19	-10	252	154
20	-9	253	155
21	-9	251	156
22	-8	249	157
23	-8	248	158
24	-8	248	159
25	-8	247	160
26	-8	247	161
27	-8	247	162
28	-8	247	163
29	-8	247	164
30	-8	247	165
31	-8	248	166
32	-8	248	167
33	-8	249	168
34	-8	251	169
35	-9	254	170
36	-9	254	171
37	-9	253	172
38	-10	253	173
39	-10	253	174
40	-11	249	175
41	-11	250	176
42	-12	253	177
