x	y	intensity	time_series
4	-42	249	1
5	-43	249	2
6	-43	249	3
7	-44	250	4
8	-44	249	5
9	-45	250	6
10	-45	250	7
11	-45	249	8
12	-45	250	9
13	-46	253	10
14	-46	252	11
15	-46	252	12
16	-47	252	13
17	-47	251	14
18	-47	249	15
19	-47	248	16
20	-47	247	17
21	-47	245	18
22	-47	244	19
23	-48	239	20
24	-48	241	21
25	-48	243	22
26	-48	244	23
27	-48	243	24
28	-48	244	25
29	-48	246	26
30	-48	248	27
31	-48	248	28
32	-48	246	29
33	-49	250	30
34	-49	251	31
35	-49	249	32
36	-48	252	33
37	-49	249	34
38	-49	250	35
39	-49	251	36
40	-49	251	37
41	-49	249	38
42	-49	248	39
43	-49	246	40
44	-48	249	41
45	-48	248	42
46	-49	243	43
47	-48	248	44
47	-47	251	45
48	-46	251	46
49	-45	249	47
48	-44	249	48
48	-43	249	49
47	-42	249	50
47	-41	244	51
47	-40	242	52
47	-39	244	53
46	-38	247	54
45	-37	249	55
44	-36	252	56
43	-35	254	57
42	-34	252	58
41	-33	249	59
40	-32	245	60
40	-31	250	61
39	-30	251	62
38	-29	252	63
38	-28	252	64
38	-27	248	65
38	-26	246	66
38	-25	246	67
38	-24	247	68
38	-23	246	69
38	-22	244	70
38	-21	240	71
38	-20	246	72
38	-19	250	73
38	-18	250	74
38	-17	245	75
38	-16	242	76
38	-15	245	77
37	-14	252	78
37	-13	255	79
37	-12	248	80
36	-11	243	81
35	-10	239	82
34	-10	241	83
33	-10	244	84
32	-9	252	85
31	-9	248	86
30	-10	247	87
29	-10	249	88
28	-10	251	89
27	-10	252	90
26	-11	250	91
25	-12	251	92
24	-13	251	93
23	-14	247	94
22	-15	244	95
22	-16	246	96
22	-17	247	97
22	-18	246	98
22	-19	243	99
22	-20	243	100
22	-21	248	101
23	-22	251	102
23	-23	251	103
24	-24	248	104
25	-25	244	105
26	-26	244	106
27	-27	251	107
28	-28	250	108
29	-28	249	109
30	-29	247	110
31	-30	249	111
32	-30	250	112
33	-30	247	113
34	-30	246	114
35	-30	245	115
36	-30	245	116
37	-30	247	117
