x	y	intensity	time_series
52	-119	250	1
51	-119	251	2
50	-119	252	3
49	-119	252	4
48	-119	253	5
47	-119	252	6
46	-119	249	7
45	-119	247	8
44	-119	246	9
43	-118	250	10
42	-118	251	11
41	-118	248	12
40	-118	246	13
39	-118	247	14
38	-118	248	15
37	-118	250	16
36	-118	251	17
35	-118	247	18
34	-118	243	19
33	-118	240	20
32	-118	243	21
31	-118	246	22
30	-118	248	23
29	-118	249	24
28	-117	250	25
27	-118	251	26
26	-118	254	27
25	-118	253	28
24	-118	253	29
23	-118	250	30
22	-118	250	31
21	-118	248	32
20	-118	247	33
19	-117	249	34
18	-117	250	35
17	-117	252	36
16	-117	253	37
15	-117	253	38
14	-117	252	39
13	-117	250	40
12	-117	250	41
11	-117	247	42
10	-117	242	43
9	-117	240	44
8	-117	244	45
7	-117	245	46
6	-117	245	47
5	-117	245	48
4	-117	245	49
3	-117	245	50
2	-117	245	51
1	-117	245	52
