x	y	intensity	time_series
17	-49	187	1
16	-49	169	2
15	-49	154	3
14	-50	142	4
14	-51	167	5
13	-52	170	6
12	-52	152	7
11	-53	145	8
10	-54	142	9
10	-55	167	10
9	-56	155	11
8	-57	151	12
7	-58	152	13
7	-59	148	14
7	-60	143	15
6	-61	144	16
6	-62	146	17
6	-63	148	18
6	-64	151	19
7	-65	152	20
7	-66	167	21
8	-67	163	22
9	-68	175	23
10	-69	165	24
11	-70	183	25
12	-71	215	26
13	-72	229	27
14	-72	219	28
15	-73	226	29
16	-74	236	30
17	-75	244	31
18	-75	244	32
19	-76	249	33
20	-76	248	34
21	-77	248	35
22	-77	241	36
23	-78	226	37
24	-78	222	38
25	-78	207	39
26	-79	172	40
27	-79	162	41
28	-79	162	42
29	-80	158	43
30	-80	153	44
31	-80	155	45
32	-81	202	46
33	-81	219	47
34	-82	235	48
35	-82	235	49
36	-82	229	50
37	-82	226	51
38	-82	229	52
39	-82	234	53
40	-82	238	54
41	-82	239	55
42	-82	239	56
43	-82	239	57
44	-82	241	58
45	-82	243	59
46	-82	240	60
47	-83	248	61
48	-83	247	62
49	-83	244	63
50	-83	239	64
51	-83	233	65
52	-83	233	66
53	-83	233	67
54	-83	233	68
55	-83	233	69
56	-82	233	70
57	-82	233	71
58	-81	233	72
58	-80	233	73
59	-79	233	74
59	-78	233	75
59	-77	233	76
60	-76	233	77
60	-75	233	78
60	-74	233	79
60	-73	233	80
59	-72	233	81
59	-71	233	82
59	-70	233	83
58	-69	233	84
58	-68	233	85
57	-67	233	86
57	-66	233	87
56	-65	220	88
55	-65	215	89
54	-64	223	90
53	-63	209	91
53	-62	186	92
52	-61	163	93
51	-60	157	94
50	-59	156	95
49	-58	188	96
48	-57	231	97
47	-56	246	98
46	-55	247	99
45	-55	251	100
44	-54	248	101
43	-53	252	102
42	-52	253	103
41	-51	250	104
40	-50	244	105
39	-49	241	106
38	-49	241	107
37	-48	241	108
36	-47	244	109
35	-46	249	110
34	-45	246	111
33	-44	230	112
32	-43	192	113
31	-43	181	114
30	-42	156	115
29	-41	155	116
28	-40	168	117
27	-39	179	118
26	-39	185	119
25	-38	215	120
24	-37	245	121
23	-36	252	122
22	-35	246	123
21	-34	244	124
20	-33	247	125
19	-33	250	126
18	-32	247	127
17	-31	247	128
16	-30	251	129
15	-29	248	130
14	-28	246	131
13	-27	245	132
12	-26	239	133
11	-25	241	134
10	-24	245	135
10	-23	239	136
9	-22	232	137
8	-22	233	138
7	-21	227	139
6	-20	223	140
6	-19	230	141
5	-18	241	142
5	-17	243	143
5	-16	245	144
4	-15	245	145
5	-14	251	146
5	-13	250	147
5	-12	251	148
5	-11	250	149
6	-10	240	150
7	-9	239	151
8	-8	251	152
9	-8	251	153
10	-7	251	154
11	-7	250	155
12	-7	250	156
13	-6	248	157
14	-6	251	158
15	-6	251	159
16	-6	251	160
17	-6	252	161
18	-6	252	162
19	-6	252	163
20	-7	252	164
21	-7	251	165
22	-7	251	166
23	-8	250	167
24	-8	248	168
25	-9	247	169
26	-9	249	170
27	-9	251	171
