x	y	intensity	time_series
0	-40	243	1
0	-41	243	2
1	-42	243	3
1	-43	243	4
1	-44	245	5
2	-45	248	6
3	-46	249	7
4	-46	249	8
5	-46	247	9
6	-47	246	10
7	-48	244	11
8	-48	245	12
9	-48	245	13
10	-49	248	14
11	-49	248	15
12	-50	248	16
13	-50	247	17
14	-51	244	18
15	-51	245	19
16	-51	243	20
17	-52	243	21
18	-52	243	22
19	-53	244	23
20	-53	245	24
21	-54	241	25
22	-54	241	26
23	-54	243	27
24	-54	246	28
25	-55	249	29
26	-56	248	30
27	-56	247	31
28	-57	241	32
29	-57	241	33
30	-57	242	34
31	-57	241	35
32	-57	241	36
33	-57	240	37
34	-58	231	38
35	-58	221	39
36	-58	218	40
37	-58	217	41
38	-58	216	42
39	-58	214	43
40	-57	231	44
40	-56	238	45
40	-55	242	46
39	-54	245	47
39	-53	245	48
39	-52	242	49
39	-51	244	50
38	-50	245	51
37	-50	246	52
36	-49	246	53
35	-48	246	54
34	-47	245	55
33	-46	246	56
32	-45	245	57
31	-44	243	58
30	-43	244	59
29	-42	246	60
28	-42	245	61
27	-41	244	62
26	-40	242	63
25	-40	242	64
24	-39	241	65
23	-38	244	66
22	-37	244	67
21	-36	243	68
20	-35	245	69
19	-34	247	70
18	-34	247	71
17	-33	245	72
16	-32	243	73
15	-31	243	74
14	-30	246	75
14	-29	247	76
14	-28	246	77
14	-27	244	78
14	-26	246	79
13	-25	248	80
13	-24	248	81
13	-23	246	82
14	-22	248	83
14	-21	249	84
14	-20	248	85
15	-19	249	86
16	-18	244	87
17	-17	247	88
18	-17	246	89
19	-17	244	90
20	-16	246	91
21	-16	245	92
22	-16	244	93
23	-16	243	94
24	-16	243	95
25	-16	244	96
26	-16	245	97
27	-16	245	98
28	-16	246	99
29	-17	247	100
30	-17	247	101
31	-18	248	102
