x	y	intensity	time_series
1	-45	246	1
2	-46	245	2
3	-47	248	3
4	-47	249	4
5	-47	250	5
6	-48	252	6
7	-49	251	7
8	-50	249	8
9	-51	247	9
10	-51	249	10
11	-52	253	11
12	-53	249	12
13	-54	245	13
14	-54	245	14
15	-55	234	15
16	-55	233	16
17	-55	233	17
18	-56	233	18
19	-56	233	19
20	-57	233	20
21	-57	234	21
22	-58	176	22
23	-58	156	23
24	-59	141	24
25	-60	133	25
26	-61	145	26
27	-61	162	27
28	-61	168	28
29	-62	194	29
30	-62	198	30
31	-62	200	31
32	-62	195	32
33	-62	177	33
34	-63	147	34
35	-62	139	35
36	-61	137	36
36	-60	146	37
36	-59	139	38
36	-58	130	39
35	-57	136	40
35	-56	136	41
35	-55	140	42
34	-54	163	43
33	-53	205	44
32	-52	245	45
31	-51	249	46
30	-50	248	47
29	-49	245	48
28	-48	244	49
27	-47	246	50
26	-46	251	51
26	-45	253	52
25	-44	252	53
24	-43	250	54
23	-42	252	55
23	-41	249	56
22	-40	248	57
21	-39	251	58
21	-38	252	59
20	-37	251	60
19	-36	249	61
19	-35	250	62
18	-34	252	63
18	-33	252	64
18	-32	250	65
17	-31	252	66
17	-30	253	67
17	-29	252	68
17	-28	253	69
16	-27	252	70
16	-26	251	71
16	-25	249	72
16	-24	248	73
16	-23	249	74
17	-22	249	75
17	-21	251	76
18	-20	252	77
18	-19	251	78
19	-18	252	79
20	-17	252	80
21	-17	251	81
22	-17	250	82
23	-17	249	83
24	-17	249	84
25	-17	250	85
26	-17	251	86
27	-17	251	87
28	-17	252	88
29	-18	252	89
30	-18	252	90
31	-18	253	91
32	-19	253	92
32	-20	253	93
33	-21	251	94
34	-22	251	95
35	-23	251	96
35	-24	253	97
35	-25	254	98
