x	y	intensity	time_series
4	-56	246	1
5	-56	244	2
6	-56	242	3
7	-56	244	4
8	-56	248	5
9	-56	244	6
10	-56	246	7
11	-56	247	8
12	-56	245	9
13	-56	242	10
14	-56	245	11
15	-57	224	12
16	-57	215	13
17	-58	169	14
18	-58	166	15
19	-59	138	16
20	-59	136	17
21	-60	130	18
22	-60	128	19
23	-60	126	20
24	-61	130	21
25	-61	133	22
26	-61	135	23
27	-61	134	24
28	-61	142	25
29	-61	150	26
30	-61	158	27
31	-61	167	28
32	-61	178	29
33	-61	187	30
34	-61	190	31
35	-61	189	32
36	-62	200	33
37	-63	207	34
38	-63	207	35
39	-63	208	36
40	-63	210	37
41	-64	211	38
42	-64	214	39
43	-64	216	40
44	-65	222	41
45	-65	223	42
46	-65	226	43
47	-65	226	44
48	-65	225	45
49	-65	224	46
50	-65	223	47
51	-65	223	48
52	-65	222	49
53	-65	221	50
54	-65	219	51
55	-65	217	52
56	-65	216	53
57	-65	205	54
58	-65	188	55
59	-64	194	56
60	-64	179	57
61	-64	170	58
62	-64	164	59
63	-64	160	60
64	-63	159	61
65	-62	163	62
66	-61	166	63
66	-60	164	64
66	-59	163	65
66	-58	163	66
65	-57	162	67
64	-56	155	68
63	-55	166	69
62	-55	169	70
61	-54	180	71
60	-53	200	72
59	-53	198	73
58	-52	216	74
57	-52	214	75
56	-51	240	76
55	-51	240	77
54	-50	246	78
53	-50	244	79
52	-49	247	80
51	-49	248	81
50	-48	252	82
49	-48	251	83
48	-47	254	84
47	-47	253	85
46	-46	252	86
45	-46	252	87
44	-45	251	88
43	-45	250	89
42	-45	250	90
41	-45	250	91
40	-44	250	92
39	-44	251	93
38	-43	252	94
37	-43	253	95
36	-42	251	96
35	-42	252	97
34	-42	253	98
33	-42	252	99
32	-41	248	100
31	-41	246	101
30	-41	245	102
29	-40	248	103
28	-40	249	104
27	-39	250	105
26	-39	251	106
25	-39	251	107
24	-38	249	108
23	-37	247	109
22	-37	247	110
21	-37	247	111
20	-36	249	112
19	-36	250	113
18	-35	252	114
17	-34	252	115
16	-33	253	116
15	-32	253	117
14	-32	251	118
13	-31	249	119
13	-30	248	120
13	-29	248	121
13	-28	249	122
12	-27	249	123
12	-26	250	124
13	-25	248	125
13	-24	247	126
13	-23	249	127
13	-22	252	128
14	-21	252	129
15	-20	251	130
16	-19	249	131
17	-19	247	132
18	-18	250	133
19	-18	251	134
20	-17	251	135
21	-17	252	136
22	-16	249	137
23	-16	251	138
24	-16	252	139
25	-16	253	140
26	-16	253	141
27	-17	251	142
28	-17	250	143
29	-17	250	144
30	-18	250	145
31	-18	250	146
32	-19	250	147
33	-20	250	148
34	-20	250	149
35	-21	250	150
36	-21	249	151
37	-22	250	152
38	-23	251	153
39	-24	252	154
40	-25	253	155
41	-26	252	156
42	-26	251	157
