x	y	intensity	time_series
3	-40	244	1
4	-41	233	2
5	-42	236	3
6	-42	236	4
7	-42	236	5
8	-43	236	6
9	-44	236	7
10	-44	236	8
11	-45	236	9
12	-45	236	10
13	-46	237	11
14	-47	241	12
15	-47	241	13
16	-47	243	14
17	-47	243	15
18	-48	240	16
19	-49	240	17
20	-50	241	18
21	-50	241	19
22	-50	241	20
23	-51	240	21
24	-51	236	22
25	-51	239	23
26	-52	244	24
27	-52	245	25
28	-53	238	26
29	-53	239	27
30	-53	239	28
31	-53	238	29
32	-54	237	30
33	-54	236	31
34	-54	239	32
35	-54	240	33
36	-54	241	34
37	-54	241	35
38	-54	239	36
39	-54	238	37
40	-54	237	38
41	-54	237	39
42	-54	237	40
43	-55	236	41
44	-54	236	42
45	-53	239	43
45	-52	240	44
45	-51	241	45
45	-50	240	46
44	-49	238	47
44	-48	242	48
44	-47	239	49
43	-46	238	50
43	-45	237	51
42	-44	236	52
42	-43	236	53
41	-42	236	54
40	-41	236	55
39	-40	236	56
38	-39	236	57
37	-38	240	58
36	-37	242	59
35	-36	243	60
34	-35	242	61
33	-35	241	62
32	-34	238	63
31	-33	244	64
30	-32	245	65
29	-31	244	66
28	-30	239	67
27	-29	240	68
26	-29	241	69
25	-28	246	70
24	-28	246	71
23	-27	242	72
22	-27	243	73
21	-26	245	74
20	-26	247	75
19	-26	247	76
18	-26	246	77
17	-25	244	78
16	-25	243	79
15	-24	245	80
14	-24	245	81
13	-23	242	82
12	-23	240	83
11	-23	240	84
10	-22	242	85
9	-21	245	86
8	-20	238	87
8	-19	243	88
8	-18	245	89
9	-17	242	90
9	-16	241	91
9	-15	247	92
10	-14	246	93
11	-14	246	94
12	-13	244	95
13	-13	247	96
14	-13	248	97
15	-13	247	98
16	-12	244	99
17	-12	242	100
18	-12	242	101
19	-11	241	102
20	-11	239	103
21	-11	240	104
22	-11	242	105
23	-11	243	106
24	-11	243	107
25	-11	240	108
26	-10	241	109
27	-9	243	110
28	-9	242	111
29	-9	240	112
30	-9	238	113
31	-9	236	114
32	-9	235	115
