x	y	intensity	time_series
22	-63	199	1
23	-63	198	2
24	-64	218	3
25	-64	219	4
26	-64	211	5
27	-64	213	6
28	-65	220	7
29	-65	222	8
30	-65	222	9
31	-66	229	10
32	-66	231	11
33	-66	230	12
34	-66	228	13
35	-66	224	14
36	-67	208	15
37	-67	205	16
38	-67	199	17
39	-67	192	18
40	-67	181	19
41	-68	147	20
42	-68	143	21
43	-68	140	22
44	-68	137	23
45	-68	133	24
46	-68	136	25
47	-68	138	26
48	-68	137	27
49	-68	134	28
50	-68	130	29
51	-68	130	30
52	-68	136	31
53	-68	146	32
54	-68	156	33
55	-68	165	34
56	-68	174	35
57	-68	186	36
58	-68	198	37
59	-67	192	38
60	-66	188	39
61	-65	178	40
62	-64	168	41
62	-63	154	42
61	-62	148	43
61	-61	151	44
61	-60	148	45
60	-59	145	46
59	-58	160	47
58	-57	182	48
57	-57	200	49
56	-56	198	50
55	-55	168	51
54	-55	162	52
53	-54	142	53
52	-54	142	54
51	-53	132	55
50	-53	136	56
49	-52	132	57
48	-52	128	58
47	-52	121	59
46	-51	119	60
45	-51	124	61
44	-51	125	62
43	-51	125	63
42	-51	127	64
41	-50	147	65
40	-50	152	66
39	-50	151	67
38	-49	193	68
37	-49	197	69
36	-49	204	70
35	-49	209	71
34	-49	213	72
33	-48	231	73
32	-48	234	74
31	-48	237	75
30	-48	238	76
29	-47	242	77
28	-47	241	78
27	-47	240	79
26	-47	239	80
25	-46	245	81
24	-46	246	82
23	-45	243	83
22	-45	243	84
21	-45	242	85
20	-44	238	86
19	-44	237	87
18	-44	237	88
17	-43	240	89
16	-43	241	90
15	-43	242	91
14	-42	243	92
13	-42	243	93
12	-41	238	94
11	-41	236	95
10	-40	236	96
9	-39	241	97
8	-38	244	98
7	-37	242	99
6	-36	241	100
6	-35	240	101
6	-34	239	102
6	-33	240	103
6	-32	238	104
6	-31	235	105
6	-30	232	106
6	-29	230	107
6	-28	230	108
6	-27	230	109
7	-26	231	110
8	-25	231	111
8	-24	232	112
9	-23	234	113
10	-22	235	114
11	-21	237	115
12	-21	238	116
13	-20	241	117
14	-20	243	118
15	-19	240	119
16	-19	238	120
17	-18	243	121
18	-18	244	122
19	-17	247	123
20	-16	244	124
21	-16	243	125
22	-16	243	126
23	-16	244	127
24	-16	245	128
25	-16	246	129
26	-16	249	130
27	-16	248	131
28	-16	247	132
29	-16	246	133
