x	y	intensity	time_series
2	-56	230	1
3	-56	230	2
4	-56	227	3
5	-56	223	4
6	-57	214	5
7	-57	215	6
8	-57	216	7
9	-58	211	8
10	-58	221	9
11	-58	225	10
12	-58	221	11
13	-58	198	12
14	-58	138	13
15	-58	118	14
16	-58	113	15
17	-59	123	16
18	-59	126	17
19	-59	129	18
20	-59	129	19
21	-59	127	20
22	-59	137	21
23	-59	139	22
24	-59	139	23
25	-59	141	24
26	-59	148	25
27	-59	134	26
28	-59	131	27
29	-59	136	28
30	-59	145	29
31	-59	153	30
32	-59	154	31
33	-59	154	32
34	-59	154	33
35	-59	154	34
36	-59	150	35
37	-59	146	36
38	-59	149	37
39	-59	156	38
40	-59	158	39
41	-59	154	40
42	-58	176	41
43	-58	183	42
44	-57	222	43
45	-56	232	44
45	-55	233	45
44	-54	238	46
44	-53	242	47
44	-52	246	48
44	-51	249	49
43	-50	245	50
43	-49	241	51
43	-48	240	52
42	-47	244	53
41	-47	247	54
40	-46	243	55
39	-45	243	56
38	-44	249	57
37	-43	249	58
36	-43	248	59
35	-42	244	60
34	-41	244	61
33	-41	244	62
32	-40	245	63
31	-39	245	64
30	-38	246	65
29	-37	249	66
28	-36	247	67
27	-36	246	68
26	-35	245	69
25	-35	243	70
24	-34	247	71
23	-33	244	72
22	-32	244	73
21	-31	248	74
20	-30	247	75
20	-29	245	76
19	-28	243	77
18	-27	242	78
18	-26	243	79
18	-25	246	80
18	-24	243	81
18	-23	243	82
18	-22	245	83
18	-21	248	84
18	-20	248	85
18	-19	246	86
18	-18	246	87
19	-17	246	88
20	-17	247	89
21	-16	246	90
22	-16	247	91
23	-16	248	92
24	-16	249	93
25	-16	249	94
