x	y	intensity	time_series
23	-52	245	1
24	-52	246	2
25	-52	246	3
26	-52	245	4
27	-52	243	5
28	-52	242	6
29	-52	242	7
30	-51	240	8
31	-51	239	9
32	-51	236	10
33	-51	237	11
34	-51	240	12
35	-51	242	13
36	-51	242	14
37	-51	241	15
38	-51	240	16
39	-51	240	17
40	-51	241	18
41	-51	242	19
42	-51	239	20
43	-51	237	21
44	-51	236	22
45	-51	236	23
46	-51	236	24
47	-51	236	25
48	-51	235	26
49	-52	237	27
50	-52	237	28
51	-52	238	29
52	-52	239	30
53	-52	242	31
54	-52	243	32
55	-52	243	33
56	-52	242	34
57	-52	240	35
58	-52	239	36
59	-51	240	37
60	-51	239	38
61	-51	239	39
62	-51	239	40
63	-51	240	41
64	-50	243	42
65	-50	246	43
66	-50	247	44
67	-50	245	45
68	-50	241	46
69	-49	242	47
70	-49	242	48
71	-49	243	49
72	-48	241	50
72	-47	239	51
73	-46	246	52
73	-45	248	53
73	-44	248	54
73	-43	246	55
73	-42	243	56
72	-41	239	57
71	-40	241	58
70	-39	244	59
69	-38	246	60
68	-37	246	61
67	-37	245	62
66	-36	244	63
65	-36	243	64
64	-35	242	65
63	-35	243	66
62	-35	247	67
61	-35	248	68
60	-35	247	69
59	-35	246	70
58	-35	245	71
57	-34	246	72
56	-34	246	73
55	-34	246	74
54	-34	246	75
53	-34	247	76
52	-34	244	77
51	-34	241	78
50	-34	240	79
49	-34	240	80
48	-34	241	81
47	-34	243	82
46	-35	243	83
45	-35	245	84
44	-35	246	85
43	-35	246	86
42	-35	246	87
41	-34	249	88
40	-34	249	89
39	-34	250	90
38	-34	250	91
37	-34	249	92
36	-34	249	93
35	-34	248	94
34	-34	247	95
33	-33	246	96
32	-33	246	97
31	-33	249	98
30	-33	246	99
29	-33	243	100
28	-33	241	101
27	-33	241	102
26	-32	246	103
25	-32	247	104
24	-32	247	105
23	-32	246	106
22	-32	244	107
21	-31	245	108
20	-31	246	109
19	-31	247	110
18	-31	248	111
17	-31	248	112
16	-30	248	113
15	-30	248	114
14	-30	246	115
13	-29	246	116
12	-29	244	117
11	-28	247	118
10	-27	245	119
9	-26	245	120
8	-25	244	121
7	-24	241	122
7	-23	240	123
7	-22	241	124
7	-21	245	125
6	-20	248	126
6	-19	243	127
7	-18	237	128
7	-17	236	129
7	-16	240	130
8	-15	243	131
9	-14	244	132
10	-14	243	133
11	-14	242	134
12	-13	239	135
13	-12	244	136
14	-12	245	137
15	-12	247	138
16	-12	248	139
17	-12	249	140
18	-12	249	141
19	-12	247	142
20	-13	249	143
21	-13	248	144
22	-13	243	145
23	-13	245	146
24	-13	246	147
25	-13	246	148
26	-13	246	149
27	-13	245	150
28	-13	245	151
29	-13	244	152
30	-13	245	153
31	-13	246	154
32	-13	247	155
