x	y	intensity	time_series
5	-56	213	1
6	-56	215	2
7	-56	219	3
8	-56	223	4
9	-55	226	5
10	-55	226	6
11	-55	224	7
12	-55	224	8
13	-55	230	9
14	-55	233	10
15	-55	233	11
16	-55	231	12
17	-55	229	13
18	-55	230	14
19	-54	238	15
20	-54	240	16
21	-53	245	17
22	-53	243	18
23	-53	242	19
24	-52	244	20
25	-52	246	21
26	-52	247	22
27	-52	245	23
28	-52	244	24
29	-52	245	25
30	-52	247	26
31	-52	248	27
32	-52	246	28
33	-51	248	29
34	-50	251	30
35	-49	252	31
34	-48	248	32
34	-47	233	33
33	-46	233	34
33	-45	233	35
32	-44	233	36
32	-43	233	37
31	-42	233	38
30	-42	233	39
29	-41	233	40
28	-41	233	41
27	-40	233	42
26	-40	233	43
25	-40	233	44
24	-40	233	45
23	-39	233	46
22	-39	233	47
21	-39	233	48
20	-38	233	49
19	-37	233	50
18	-37	233	51
17	-37	233	52
16	-37	233	53
15	-36	233	54
14	-36	233	55
13	-36	233	56
12	-35	234	57
11	-35	234	58
10	-34	243	59
9	-34	240	60
8	-33	250	61
7	-32	250	62
6	-31	250	63
6	-30	250	64
6	-29	250	65
6	-28	250	66
6	-27	249	67
7	-26	248	68
7	-25	248	69
8	-24	249	70
9	-23	251	71
10	-23	251	72
11	-22	252	73
12	-22	252	74
13	-21	251	75
14	-20	250	76
15	-19	248	77
16	-19	247	78
17	-18	247	79
18	-18	247	80
19	-18	248	81
20	-18	248	82
21	-18	248	83
22	-18	249	84
23	-18	247	85
24	-18	247	86
25	-18	247	87
26	-18	248	88
27	-18	247	89
28	-18	247	90
29	-19	247	91
30	-19	248	92
31	-19	250	93
32	-19	251	94
33	-20	251	95
