x	y	intensity	time_series
14	-49	238	1
15	-49	237	2
16	-49	237	3
17	-50	237	4
18	-50	240	5
19	-51	237	6
20	-51	237	7
21	-51	236	8
22	-51	234	9
23	-52	231	10
24	-52	231	11
25	-52	232	12
26	-53	225	13
27	-53	225	14
28	-53	226	15
29	-54	224	16
30	-54	225	17
31	-54	225	18
32	-54	225	19
33	-54	225	20
34	-54	226	21
35	-55	227	22
36	-55	227	23
37	-55	228	24
38	-55	229	25
39	-55	233	26
40	-55	232	27
41	-55	232	28
42	-55	231	29
43	-56	225	30
44	-56	224	31
45	-56	224	32
46	-56	226	33
47	-56	228	34
48	-56	229	35
49	-56	231	36
50	-56	232	37
51	-56	232	38
52	-56	231	39
53	-56	229	40
54	-56	227	41
55	-56	225	42
56	-56	225	43
57	-57	225	44
58	-57	229	45
59	-57	227	46
60	-57	228	47
61	-57	230	48
62	-57	227	49
63	-57	220	50
64	-57	213	51
65	-58	188	52
66	-58	187	53
67	-58	191	54
68	-58	195	55
69	-58	199	56
70	-58	203	57
71	-58	201	58
72	-58	198	59
73	-58	197	60
74	-58	198	61
75	-57	223	62
76	-56	235	63
77	-55	237	64
76	-54	240	65
76	-53	241	66
76	-52	240	67
76	-51	240	68
76	-50	241	69
75	-49	244	70
74	-48	243	71
73	-47	242	72
72	-46	243	73
71	-46	243	74
70	-45	241	75
69	-45	243	76
68	-44	242	77
67	-44	240	78
66	-43	240	79
65	-43	241	80
64	-42	242	81
63	-41	243	82
62	-41	240	83
61	-40	241	84
60	-40	243	85
59	-39	244	86
58	-39	241	87
57	-38	243	88
56	-38	241	89
55	-38	240	90
54	-37	238	91
53	-37	239	92
52	-37	240	93
51	-37	242	94
50	-37	244	95
49	-36	242	96
48	-36	246	97
47	-36	246	98
46	-36	246	99
45	-35	243	100
44	-35	243	101
43	-35	244	102
42	-35	244	103
41	-35	243	104
40	-34	240	105
39	-34	240	106
38	-34	240	107
37	-33	238	108
36	-33	240	109
35	-33	241	110
34	-33	241	111
33	-33	240	112
32	-32	241	113
31	-32	243	114
30	-32	246	115
29	-32	249	116
28	-32	247	117
27	-32	245	118
26	-32	245	119
25	-32	243	120
24	-31	242	121
23	-31	239	122
22	-31	237	123
21	-31	236	124
20	-30	242	125
19	-30	243	126
18	-30	245	127
17	-30	246	128
16	-30	245	129
15	-30	243	130
14	-30	242	131
13	-30	242	132
12	-30	242	133
11	-29	246	134
10	-29	245	135
9	-28	245	136
8	-27	243	137
7	-26	243	138
7	-25	248	139
7	-24	251	140
7	-23	252	141
7	-22	249	142
7	-21	245	143
8	-20	249	144
9	-19	250	145
10	-18	243	146
11	-18	243	147
12	-17	246	148
13	-17	246	149
14	-16	248	150
15	-16	248	151
16	-15	246	152
17	-15	244	153
18	-15	245	154
19	-14	245	155
20	-14	244	156
21	-13	240	157
22	-13	239	158
23	-13	239	159
24	-13	239	160
25	-13	240	161
26	-12	241	162
27	-12	241	163
28	-11	242	164
29	-11	240	165
30	-11	239	166
31	-10	244	167
32	-10	245	168
33	-10	247	169
34	-10	250	170
35	-10	251	171
36	-10	250	172
37	-9	249	173
38	-9	251	174
39	-9	253	175
40	-9	252	176
41	-9	251	177
42	-9	250	178
43	-9	249	179
44	-10	247	180
45	-10	246	181
46	-10	245	182
47	-10	245	183
48	-10	245	184
49	-10	243	185
50	-11	243	186
51	-12	244	187
52	-12	244	188
53	-13	243	189
54	-14	241	190
55	-15	240	191
55	-16	239	192
55	-17	240	193
56	-18	243	194
56	-19	245	195
