x	y	intensity	time_series
9	-60	105	1
10	-60	104	2
11	-59	103	3
12	-59	101	4
13	-59	102	5
14	-59	104	6
15	-59	103	7
16	-59	103	8
17	-59	109	9
18	-59	110	10
19	-59	109	11
20	-59	107	12
21	-59	98	13
22	-60	96	14
23	-60	95	15
24	-60	89	16
25	-60	86	17
26	-60	95	18
27	-60	101	19
28	-60	99	20
29	-60	98	21
30	-60	99	22
31	-60	102	23
32	-60	104	24
33	-60	102	25
34	-60	103	26
35	-60	102	27
36	-60	100	28
37	-60	103	29
38	-60	108	30
39	-59	112	31
40	-58	119	32
39	-57	139	33
39	-56	182	34
39	-55	222	35
38	-54	237	36
38	-53	238	37
37	-52	237	38
36	-51	238	39
35	-51	240	40
34	-50	238	41
33	-49	235	42
32	-48	243	43
31	-48	244	44
30	-47	238	45
29	-47	237	46
28	-46	237	47
27	-45	237	48
26	-45	238	49
25	-44	239	50
24	-44	240	51
23	-43	241	52
22	-42	242	53
21	-41	242	54
20	-41	243	55
19	-40	240	56
18	-39	236	57
17	-38	239	58
16	-37	244	59
15	-36	240	60
14	-35	240	61
13	-34	242	62
13	-33	243	63
13	-32	243	64
13	-31	239	65
13	-30	238	66
13	-29	243	67
13	-28	243	68
14	-27	240	69
15	-27	239	70
16	-26	243	71
17	-25	242	72
18	-24	239	73
19	-24	239	74
20	-24	240	75
21	-24	240	76
22	-24	238	77
23	-24	238	78
24	-24	237	79
25	-24	236	80
