x	y	intensity	time_series
4	-54	238	1
5	-54	241	2
6	-54	241	3
7	-53	244	4
8	-53	245	5
9	-53	248	6
10	-53	250	7
11	-54	249	8
12	-54	249	9
13	-54	249	10
14	-54	249	11
15	-54	249	12
16	-54	250	13
17	-55	250	14
18	-55	253	15
19	-55	254	16
20	-56	249	17
21	-57	242	18
22	-57	242	19
23	-57	242	20
24	-57	244	21
25	-57	246	22
26	-57	247	23
27	-58	234	24
28	-58	227	25
29	-58	219	26
30	-59	170	27
31	-59	148	28
32	-59	136	29
33	-59	133	30
34	-60	128	31
35	-60	128	32
36	-60	128	33
37	-60	127	34
38	-60	125	35
39	-61	122	36
40	-61	129	37
41	-61	133	38
42	-61	136	39
43	-61	143	40
44	-61	147	41
45	-61	150	42
46	-62	180	43
47	-62	193	44
48	-62	204	45
49	-62	206	46
50	-62	204	47
51	-62	200	48
52	-62	192	49
53	-62	158	50
54	-61	140	51
55	-60	149	52
56	-59	150	53
56	-58	147	54
56	-57	152	55
56	-56	169	56
55	-55	183	57
55	-54	210	58
55	-53	235	59
54	-52	245	60
54	-51	250	61
53	-50	249	62
52	-49	251	63
51	-48	253	64
50	-47	251	65
49	-46	253	66
48	-45	248	67
48	-44	249	68
47	-43	250	69
46	-42	248	70
45	-42	246	71
44	-41	242	72
43	-40	240	73
42	-40	240	74
41	-39	241	75
40	-38	239	76
39	-37	241	77
38	-37	245	78
37	-36	251	79
36	-36	251	80
35	-35	251	81
34	-34	251	82
33	-34	251	83
32	-33	249	84
31	-33	250	85
30	-32	251	86
29	-32	249	87
28	-31	246	88
27	-31	245	89
26	-30	246	90
25	-29	249	91
24	-29	251	92
23	-28	253	93
22	-27	251	94
21	-26	250	95
20	-26	252	96
19	-26	252	97
18	-25	251	98
17	-24	251	99
16	-24	250	100
15	-23	252	101
14	-22	252	102
13	-21	251	103
13	-20	248	104
13	-19	245	105
12	-18	241	106
12	-17	236	107
13	-16	234	108
13	-15	240	109
14	-14	243	110
15	-14	243	111
16	-14	244	112
17	-13	245	113
18	-13	245	114
19	-13	245	115
20	-13	245	116
21	-13	249	117
22	-13	251	118
23	-13	252	119
24	-13	252	120
25	-13	251	121
26	-13	249	122
27	-13	248	123
28	-13	248	124
29	-13	250	125
30	-13	252	126
31	-13	252	127
32	-13	252	128
33	-14	251	129
34	-14	251	130
35	-14	251	131
36	-14	251	132
37	-15	252	133
38	-15	251	134
39	-15	251	135
40	-16	252	136
41	-17	252	137
42	-17	252	138
43	-18	253	139
44	-19	252	140
45	-20	252	141
46	-20	252	142
47	-21	252	143
47	-22	252	144
48	-23	251	145
49	-23	251	146
