x	y	intensity	time_series
3	-60	123	1
4	-60	126	2
5	-60	132	3
6	-61	130	4
7	-61	135	5
8	-60	131	6
9	-60	128	7
10	-60	128	8
11	-60	129	9
12	-60	130	10
13	-60	130	11
14	-60	129	12
15	-60	129	13
16	-60	130	14
17	-60	132	15
18	-60	133	16
19	-60	132	17
20	-60	123	18
21	-60	128	19
22	-60	132	20
23	-60	133	21
24	-60	132	22
25	-60	132	23
26	-60	134	24
27	-60	136	25
28	-60	137	26
29	-60	138	27
30	-60	132	28
31	-60	131	29
32	-60	133	30
33	-60	136	31
34	-60	141	32
35	-59	168	33
36	-59	179	34
37	-59	188	35
38	-59	195	36
39	-59	200	37
40	-59	197	38
41	-59	196	39
42	-59	199	40
43	-59	199	41
44	-59	195	42
45	-59	192	43
46	-59	193	44
47	-58	221	45
48	-57	234	46
49	-56	233	47
49	-55	233	48
49	-54	235	49
49	-53	233	50
49	-52	232	51
49	-51	232	52
48	-50	234	53
47	-49	232	54
47	-48	229	55
46	-47	227	56
45	-46	229	57
44	-45	233	58
43	-44	229	59
42	-43	230	60
41	-42	231	61
40	-42	229	62
39	-41	233	63
38	-40	234	64
37	-40	233	65
36	-39	228	66
35	-39	228	67
34	-38	223	68
33	-38	225	69
32	-37	225	70
31	-36	230	71
30	-36	232	72
29	-35	237	73
28	-35	242	74
27	-34	242	75
26	-34	246	76
25	-34	248	77
24	-33	244	78
23	-32	243	79
23	-31	241	80
22	-30	244	81
21	-29	245	82
21	-28	241	83
21	-27	238	84
22	-26	236	85
23	-25	233	86
24	-25	231	87
25	-25	232	88
26	-25	233	89
27	-25	235	90
28	-25	237	91
29	-25	238	92
30	-25	236	93
31	-25	238	94
32	-25	241	95
33	-25	244	96
34	-25	246	97
35	-25	246	98
36	-26	246	99
37	-26	246	100
38	-26	248	101
39	-26	249	102
40	-26	247	103
41	-27	245	104
42	-27	244	105
43	-27	244	106
44	-28	246	107
45	-29	247	108
46	-30	245	109
