x	y	intensity	time_series
16	-52	242	1
17	-52	247	2
18	-53	249	3
19	-53	250	4
20	-53	247	5
21	-53	245	6
22	-54	246	7
23	-55	246	8
24	-55	244	9
25	-56	239	10
26	-56	240	11
27	-56	242	12
28	-56	242	13
29	-57	235	14
30	-57	234	15
31	-57	233	16
32	-57	230	17
33	-57	227	18
34	-58	206	19
35	-58	197	20
36	-58	196	21
37	-58	198	22
38	-59	155	23
39	-59	154	24
40	-59	152	25
41	-59	149	26
42	-59	148	27
43	-60	134	28
44	-60	132	29
45	-60	134	30
46	-60	135	31
47	-60	135	32
48	-60	136	33
49	-60	138	34
50	-60	138	35
51	-61	142	36
52	-61	144	37
53	-60	137	38
54	-60	143	39
55	-60	148	40
56	-60	149	41
57	-60	145	42
58	-60	147	43
59	-60	149	44
60	-60	147	45
61	-60	142	46
62	-60	145	47
63	-59	164	48
64	-58	185	49
65	-57	218	50
65	-56	239	51
65	-55	248	52
65	-54	246	53
64	-53	244	54
64	-52	245	55
63	-51	247	56
62	-50	248	57
61	-49	246	58
60	-48	245	59
59	-47	245	60
58	-47	244	61
57	-46	239	62
56	-46	240	63
55	-45	248	64
54	-45	247	65
53	-44	244	66
52	-44	240	67
51	-43	241	68
50	-43	240	69
49	-42	244	70
48	-41	242	71
47	-41	239	72
46	-40	240	73
45	-39	243	74
44	-39	242	75
43	-38	245	76
42	-38	244	77
41	-37	248	78
40	-37	248	79
39	-36	248	80
38	-36	245	81
37	-36	244	82
36	-35	249	83
35	-35	248	84
34	-35	250	85
33	-34	250	86
32	-33	245	87
31	-33	244	88
30	-32	241	89
29	-32	243	90
28	-32	246	91
27	-32	248	92
26	-31	245	93
25	-30	247	94
24	-30	244	95
23	-29	251	96
22	-29	252	97
21	-29	253	98
20	-28	253	99
19	-28	253	100
18	-28	252	101
17	-28	251	102
16	-27	251	103
15	-26	252	104
14	-25	250	105
13	-25	249	106
12	-25	250	107
11	-24	252	108
10	-23	253	109
9	-22	252	110
9	-21	250	111
9	-20	247	112
8	-19	247	113
8	-18	249	114
8	-17	251	115
9	-16	248	116
10	-15	245	117
11	-14	247	118
12	-14	248	119
13	-14	250	120
14	-13	249	121
15	-13	247	122
16	-13	247	123
17	-13	248	124
18	-13	249	125
19	-13	249	126
20	-13	249	127
21	-13	249	128
22	-13	248	129
23	-13	247	130
24	-14	243	131
25	-14	246	132
26	-14	248	133
27	-14	249	134
28	-14	249	135
29	-15	249	136
30	-15	250	137
31	-15	251	138
32	-16	252	139
33	-16	251	140
34	-17	248	141
35	-18	247	142
36	-18	249	143
37	-19	248	144
38	-19	250	145
39	-20	251	146
40	-21	251	147
41	-22	251	148
42	-23	251	149
43	-24	249	150
44	-24	249	151
45	-25	246	152
45	-26	247	153
46	-27	249	154
47	-28	250	155
