x	y	intensity	time_series
6	-51	248	1
7	-51	248	2
8	-50	249	3
9	-51	249	4
10	-51	249	5
11	-51	250	6
12	-52	251	7
13	-52	250	8
14	-52	248	9
15	-52	247	10
16	-52	247	11
17	-52	246	12
18	-53	247	13
19	-53	248	14
20	-53	248	15
21	-53	248	16
22	-53	244	17
23	-53	245	18
24	-53	247	19
25	-53	249	20
26	-54	246	21
27	-54	247	22
28	-54	246	23
29	-54	244	24
30	-54	243	25
31	-53	248	26
32	-53	243	27
33	-53	242	28
34	-53	243	29
35	-53	244	30
36	-53	247	31
37	-53	249	32
38	-53	251	33
39	-53	252	34
40	-54	245	35
41	-54	243	36
42	-54	246	37
43	-54	247	38
44	-54	246	39
45	-54	245	40
46	-54	244	41
47	-54	243	42
48	-53	246	43
48	-52	245	44
48	-51	245	45
47	-50	249	46
47	-49	253	47
46	-48	253	48
46	-47	252	49
45	-46	251	50
44	-45	251	51
43	-44	246	52
42	-44	247	53
41	-43	244	54
40	-42	247	55
39	-42	250	56
38	-42	251	57
37	-41	251	58
36	-40	249	59
35	-39	247	60
34	-39	249	61
33	-38	248	62
32	-38	248	63
31	-37	248	64
30	-36	251	65
29	-35	253	66
28	-35	253	67
27	-34	248	68
26	-33	248	69
25	-33	249	70
24	-32	250	71
23	-31	250	72
22	-30	251	73
21	-29	250	74
20	-28	252	75
19	-27	253	76
18	-26	253	77
17	-25	252	78
17	-24	251	79
16	-23	252	80
15	-22	252	81
15	-21	251	82
14	-20	250	83
14	-19	251	84
14	-18	252	85
14	-17	252	86
14	-16	251	87
14	-15	249	88
14	-14	247	89
14	-13	249	90
14	-12	250	91
15	-11	250	92
16	-10	250	93
17	-9	250	94
18	-9	251	95
19	-8	249	96
20	-7	248	97
21	-7	249	98
22	-7	249	99
23	-7	250	100
24	-7	250	101
25	-7	250	102
26	-7	249	103
27	-7	250	104
28	-7	250	105
29	-7	250	106
30	-7	250	107
31	-8	248	108
32	-8	249	109
33	-8	251	110
34	-8	251	111
35	-9	252	112
36	-10	251	113
37	-10	250	114
38	-11	249	115
39	-11	250	116
40	-12	252	117
41	-12	253	118
42	-13	252	119
43	-14	251	120
44	-15	251	121
45	-16	251	122
46	-17	249	123
47	-18	249	124
48	-19	251	125
49	-20	252	126
49	-21	253	127
50	-22	251	128
51	-23	247	129
51	-24	244	130
51	-25	245	131
