x	y	intensity	time_series
15	-60	121	1
16	-60	123	2
17	-60	123	3
18	-60	123	4
19	-61	114	5
20	-61	117	6
21	-61	120	7
22	-61	124	8
23	-62	160	9
24	-62	167	10
25	-62	172	11
26	-63	214	12
27	-63	211	13
28	-63	213	14
29	-63	213	15
30	-63	212	16
31	-64	217	17
32	-64	217	18
33	-65	225	19
34	-65	220	20
35	-66	225	21
36	-66	228	22
37	-66	233	23
38	-66	233	24
39	-67	228	25
40	-67	219	26
41	-67	206	27
42	-67	188	28
43	-67	171	29
44	-68	152	30
45	-68	152	31
46	-68	147	32
47	-68	150	33
48	-69	155	34
49	-69	153	35
50	-69	141	36
51	-69	143	37
52	-69	143	38
53	-70	216	39
54	-70	232	40
55	-70	233	41
56	-70	233	42
57	-70	233	43
58	-70	233	44
59	-70	233	45
60	-70	233	46
61	-70	233	47
62	-70	233	48
63	-70	233	49
64	-70	233	50
65	-70	233	51
66	-70	233	52
67	-70	233	53
68	-69	233	54
69	-68	233	55
69	-67	233	56
69	-66	233	57
69	-65	233	58
68	-64	233	59
67	-63	233	60
66	-62	154	61
65	-62	123	62
64	-61	134	63
63	-60	141	64
62	-60	141	65
61	-59	153	66
60	-58	198	67
59	-58	210	68
58	-58	216	69
57	-57	234	70
56	-57	236	71
55	-56	235	72
54	-55	227	73
53	-55	219	74
52	-54	176	75
51	-54	172	76
50	-53	143	77
49	-53	139	78
48	-52	129	79
47	-51	137	80
46	-51	138	81
45	-51	134	82
44	-50	154	83
43	-50	149	84
42	-49	213	85
41	-49	216	86
40	-49	222	87
39	-49	228	88
38	-48	246	89
37	-48	246	90
36	-48	245	91
35	-47	246	92
34	-47	244	93
33	-46	244	94
32	-46	245	95
31	-45	248	96
30	-45	251	97
29	-45	251	98
28	-44	252	99
27	-44	249	100
26	-44	246	101
25	-43	250	102
24	-43	252	103
23	-42	254	104
22	-42	252	105
21	-42	251	106
20	-42	250	107
19	-41	248	108
18	-41	248	109
17	-40	250	110
16	-40	250	111
15	-39	253	112
14	-39	253	113
13	-39	251	114
12	-38	248	115
11	-38	248	116
10	-37	249	117
9	-36	249	118
8	-35	248	119
8	-34	248	120
8	-33	248	121
7	-32	248	122
8	-31	249	123
8	-30	251	124
9	-29	251	125
10	-28	251	126
11	-27	251	127
12	-27	251	128
13	-26	251	129
14	-26	252	130
15	-26	250	131
16	-25	248	132
17	-25	249	133
18	-25	249	134
19	-25	248	135
20	-25	248	136
21	-25	247	137
22	-25	248	138
23	-24	249	139
24	-24	251	140
25	-24	251	141
26	-24	251	142
27	-24	250	143
28	-24	249	144
29	-24	249	145
30	-24	249	146
31	-25	250	147
32	-25	250	148
33	-25	250	149
34	-25	249	150
35	-25	248	151
36	-26	248	152
37	-27	250	153
38	-27	249	154
39	-28	249	155
