x	y	intensity	time_series
2	-49	238	1
3	-50	240	2
4	-50	239	3
5	-51	241	4
6	-52	237	5
7	-52	242	6
8	-52	241	7
9	-52	236	8
10	-52	233	9
11	-52	233	10
12	-52	233	11
13	-52	233	12
14	-52	233	13
15	-53	238	14
16	-53	243	15
17	-53	248	16
18	-53	250	17
19	-53	247	18
20	-54	239	19
21	-54	238	20
22	-54	243	21
23	-54	246	22
24	-54	245	23
25	-54	244	24
26	-54	248	25
27	-54	246	26
28	-54	243	27
29	-54	243	28
30	-54	243	29
31	-54	243	30
32	-54	244	31
33	-54	245	32
34	-54	245	33
35	-54	246	34
36	-54	246	35
37	-54	246	36
38	-54	244	37
39	-54	242	38
40	-54	240	39
41	-54	239	40
42	-54	240	41
43	-53	242	42
44	-53	243	43
45	-53	243	44
46	-52	240	45
47	-51	239	46
47	-50	242	47
47	-49	247	48
46	-48	250	49
46	-47	252	50
45	-46	247	51
44	-45	248	52
43	-44	249	53
42	-44	248	54
41	-43	247	55
40	-42	245	56
39	-42	246	57
38	-41	246	58
37	-40	245	59
36	-40	245	60
35	-39	246	61
34	-39	247	62
33	-39	249	63
32	-38	248	64
31	-37	247	65
30	-36	248	66
29	-36	248	67
28	-35	250	68
27	-35	250	69
26	-34	251	70
25	-34	251	71
24	-33	247	72
23	-33	246	73
22	-32	246	74
21	-32	245	75
20	-31	249	76
19	-31	250	77
18	-31	251	78
17	-30	250	79
16	-30	248	80
15	-29	250	81
14	-28	251	82
13	-28	253	83
12	-27	252	84
11	-26	249	85
10	-26	248	86
9	-25	247	87
8	-24	249	88
7	-23	249	89
7	-22	251	90
7	-21	253	91
7	-20	253	92
6	-19	251	93
6	-18	247	94
6	-17	245	95
7	-16	247	96
7	-15	247	97
8	-14	250	98
9	-14	250	99
10	-14	250	100
11	-14	249	101
12	-14	246	102
13	-14	245	103
14	-14	246	104
15	-15	248	105
16	-16	251	106
17	-16	249	107
18	-17	247	108
19	-18	248	109
20	-19	249	110
21	-20	250	111
