x	y	intensity	time_series
8	-56	233	1
9	-57	233	2
10	-57	233	3
11	-57	233	4
12	-57	233	5
13	-57	233	6
14	-57	233	7
15	-58	242	8
16	-58	234	9
17	-58	236	10
18	-58	231	11
19	-58	223	12
20	-58	217	13
21	-58	214	14
22	-58	214	15
23	-58	218	16
24	-58	221	17
25	-58	216	18
26	-58	200	19
27	-58	188	20
28	-58	179	21
29	-59	137	22
30	-59	136	23
31	-59	137	24
32	-59	141	25
33	-59	147	26
34	-59	155	27
35	-59	165	28
36	-59	172	29
37	-59	172	30
38	-59	171	31
39	-59	182	32
40	-59	192	33
41	-59	194	34
42	-58	223	35
43	-58	217	36
44	-58	216	37
45	-58	218	38
46	-58	219	39
47	-58	220	40
48	-58	222	41
49	-58	226	42
50	-58	229	43
51	-57	245	44
52	-57	246	45
53	-56	249	46
54	-55	250	47
54	-54	251	48
54	-53	251	49
53	-52	245	50
53	-51	246	51
53	-50	250	52
52	-49	252	53
51	-48	253	54
50	-48	253	55
49	-47	251	56
48	-47	251	57
47	-46	252	58
46	-45	253	59
45	-45	253	60
44	-44	249	61
43	-43	246	62
42	-43	245	63
41	-43	245	64
40	-42	250	65
39	-42	251	66
38	-41	251	67
37	-41	252	68
36	-41	252	69
35	-40	252	70
34	-39	250	71
33	-39	251	72
32	-38	252	73
31	-38	252	74
30	-37	251	75
29	-37	250	76
28	-37	249	77
27	-36	248	78
26	-36	250	79
25	-35	252	80
24	-35	252	81
23	-34	253	82
22	-34	253	83
21	-33	252	84
20	-32	252	85
19	-31	252	86
18	-31	251	87
17	-31	250	88
16	-30	249	89
15	-29	251	90
14	-28	252	91
13	-27	252	92
12	-26	253	93
11	-25	251	94
11	-24	249	95
11	-23	248	96
11	-22	249	97
11	-21	248	98
11	-20	248	99
12	-19	250	100
13	-18	252	101
14	-18	251	102
15	-18	251	103
16	-18	250	104
17	-18	247	105
18	-18	246	106
19	-18	246	107
20	-18	247	108
21	-19	247	109
22	-20	250	110
23	-20	251	111
24	-21	253	112
