x	y	intensity	time_series
7	-53	250	1
8	-54	247	2
9	-55	246	3
10	-55	251	4
11	-55	248	5
12	-55	245	6
13	-55	243	7
14	-55	244	8
15	-56	243	9
16	-56	245	10
17	-56	245	11
18	-56	243	12
19	-57	237	13
20	-57	227	14
21	-57	227	15
22	-58	213	16
23	-58	206	17
24	-58	197	18
25	-59	139	19
26	-59	126	20
27	-59	120	21
28	-59	123	22
29	-59	132	23
30	-60	134	24
31	-59	123	25
32	-59	118	26
33	-60	121	27
34	-59	129	28
34	-58	128	29
34	-57	142	30
34	-56	178	31
33	-55	227	32
33	-54	236	33
33	-53	234	34
33	-52	228	35
32	-51	220	36
31	-50	225	37
30	-49	228	38
29	-48	234	39
28	-47	235	40
27	-46	238	41
26	-46	238	42
25	-45	234	43
24	-44	227	44
23	-43	227	45
22	-42	230	46
22	-41	232	47
21	-40	235	48
20	-40	239	49
19	-39	242	50
18	-38	243	51
17	-37	245	52
16	-36	246	53
15	-35	245	54
14	-34	241	55
13	-33	240	56
13	-32	241	57
12	-31	245	58
12	-30	247	59
11	-29	251	60
11	-28	249	61
11	-27	246	62
11	-26	246	63
11	-25	250	64
11	-24	250	65
11	-23	247	66
11	-22	245	67
12	-21	249	68
12	-20	247	69
12	-19	244	70
12	-18	241	71
13	-17	239	72
14	-16	244	73
15	-15	247	74
16	-15	246	75
17	-14	246	76
18	-14	245	77
19	-14	244	78
20	-14	239	79
21	-14	240	80
22	-14	242	81
23	-15	240	82
24	-16	238	83
25	-16	235	84
26	-17	234	85
27	-18	232	86
27	-19	232	87
28	-20	233	88
28	-21	234	89
29	-22	236	90
29	-23	240	91
29	-24	243	92
