x	y	intensity	time_series
7	-49	245	1
8	-49	248	2
9	-49	250	3
10	-49	250	4
11	-50	247	5
12	-50	248	6
13	-51	248	7
14	-51	248	8
15	-52	243	9
16	-52	244	10
17	-52	246	11
18	-52	246	12
19	-52	247	13
20	-52	248	14
21	-52	248	15
22	-52	249	16
23	-53	249	17
24	-53	248	18
25	-53	247	19
26	-53	247	20
27	-53	248	21
28	-53	249	22
29	-53	250	23
30	-53	250	24
31	-53	250	25
32	-53	250	26
33	-53	249	27
34	-54	244	28
35	-54	243	29
36	-54	243	30
37	-54	245	31
38	-54	246	32
39	-54	246	33
40	-54	246	34
41	-54	247	35
42	-54	249	36
43	-54	250	37
44	-54	250	38
45	-54	250	39
46	-54	249	40
47	-53	250	41
48	-53	250	42
49	-52	250	43
50	-51	250	44
50	-50	249	45
50	-49	245	46
50	-48	245	47
50	-47	249	48
50	-46	249	49
50	-45	250	50
49	-44	249	51
48	-44	248	52
47	-44	248	53
46	-43	249	54
46	-42	248	55
45	-41	247	56
44	-41	246	57
43	-41	245	58
42	-40	241	59
41	-40	242	60
40	-39	245	61
39	-39	245	62
38	-38	250	63
37	-37	250	64
36	-37	248	65
35	-36	245	66
34	-36	243	67
33	-36	242	68
32	-35	240	69
31	-35	241	70
30	-35	244	71
29	-34	249	72
28	-34	251	73
27	-34	251	74
26	-34	248	75
25	-33	246	76
24	-32	249	77
23	-32	251	78
22	-32	251	79
21	-31	248	80
20	-31	249	81
19	-31	250	82
18	-31	251	83
17	-30	251	84
16	-30	249	85
15	-30	248	86
14	-29	248	87
13	-29	250	88
12	-29	250	89
11	-28	251	90
10	-27	251	91
9	-26	250	92
8	-25	248	93
7	-24	249	94
7	-23	250	95
6	-22	245	96
6	-21	245	97
7	-20	249	98
7	-19	252	99
7	-18	251	100
8	-17	249	101
9	-17	250	102
10	-17	250	103
11	-16	249	104
12	-16	249	105
13	-15	249	106
14	-15	248	107
15	-14	246	108
16	-14	246	109
17	-14	247	110
18	-14	247	111
19	-14	249	112
20	-14	250	113
21	-14	251	114
22	-14	251	115
23	-14	251	116
24	-15	251	117
25	-15	251	118
26	-15	252	119
27	-16	250	120
28	-16	250	121
29	-17	250	122
30	-18	249	123
31	-19	243	124
32	-20	241	125
33	-20	242	126
34	-21	244	127
