x	y	intensity	time_series
12	-50	243	1
13	-51	248	2
14	-52	252	3
15	-52	252	4
16	-53	247	5
17	-54	246	6
18	-54	245	7
19	-55	242	8
20	-55	239	9
21	-56	235	10
22	-56	233	11
23	-56	230	12
24	-57	222	13
25	-58	179	14
26	-58	163	15
27	-59	131	16
28	-59	129	17
29	-60	126	18
30	-60	116	19
31	-60	118	20
32	-60	120	21
33	-61	121	22
34	-61	124	23
35	-61	135	24
36	-61	151	25
37	-62	186	26
38	-63	202	27
39	-63	200	28
40	-64	206	29
41	-64	205	30
42	-64	203	31
43	-64	202	32
44	-65	206	33
45	-66	213	34
46	-66	213	35
47	-66	214	36
48	-66	214	37
49	-66	213	38
50	-67	217	39
51	-67	219	40
52	-67	221	41
53	-68	229	42
54	-68	227	43
55	-68	221	44
56	-69	191	45
57	-69	170	46
58	-69	155	47
59	-69	150	48
60	-69	151	49
61	-69	154	50
62	-69	153	51
63	-70	148	52
64	-70	149	53
65	-70	156	54
66	-70	162	55
67	-70	169	56
68	-70	188	57
69	-70	203	58
70	-70	214	59
71	-70	227	60
72	-70	231	61
73	-70	233	62
74	-70	233	63
75	-70	233	64
76	-70	233	65
77	-70	233	66
78	-69	233	67
78	-68	233	68
79	-67	233	69
79	-66	233	70
79	-65	233	71
78	-64	199	72
78	-63	174	73
78	-62	169	74
77	-61	160	75
77	-60	164	76
76	-59	165	77
75	-59	161	78
74	-58	181	79
74	-57	203	80
73	-56	236	81
72	-56	244	82
71	-56	244	83
70	-55	238	84
69	-55	237	85
68	-54	221	86
67	-54	222	87
66	-54	223	88
65	-53	192	89
64	-52	160	90
63	-51	157	91
62	-51	159	92
61	-50	167	93
60	-50	166	94
59	-50	163	95
58	-49	179	96
57	-48	223	97
56	-48	224	98
55	-47	240	99
54	-47	240	100
53	-46	245	101
52	-46	245	102
51	-45	244	103
50	-45	244	104
49	-44	246	105
48	-44	246	106
47	-44	247	107
46	-43	250	108
45	-43	250	109
44	-43	251	110
43	-43	252	111
42	-42	251	112
41	-41	248	113
40	-41	248	114
39	-41	248	115
38	-40	246	116
37	-39	243	117
36	-39	243	118
35	-38	249	119
34	-38	250	120
33	-37	250	121
32	-37	249	122
31	-37	247	123
30	-37	246	124
29	-36	246	125
28	-35	244	126
27	-35	245	127
26	-34	246	128
25	-34	249	129
24	-33	250	130
23	-33	251	131
22	-33	250	132
21	-32	249	133
20	-32	247	134
19	-31	247	135
18	-31	246	136
17	-31	247	137
16	-30	251	138
15	-30	249	139
14	-29	246	140
13	-28	249	141
12	-27	250	142
11	-26	248	143
10	-25	250	144
9	-24	245	145
8	-23	249	146
7	-22	247	147
7	-21	246	148
7	-20	246	149
7	-19	246	150
7	-18	247	151
7	-17	251	152
7	-16	251	153
8	-15	250	154
9	-14	246	155
10	-13	251	156
11	-13	251	157
12	-12	247	158
13	-11	245	159
14	-10	246	160
15	-9	245	161
16	-8	248	162
17	-8	249	163
18	-7	247	164
19	-7	246	165
20	-7	246	166
21	-6	246	167
22	-6	246	168
23	-5	245	169
24	-4	247	170
25	-4	249	171
26	-4	250	172
27	-4	249	173
28	-4	249	174
29	-4	248	175
30	-4	248	176
31	-4	248	177
32	-4	249	178
33	-4	250	179
34	-4	251	180
35	-4	252	181
36	-3	251	182
37	-3	250	183
38	-3	250	184
39	-4	251	185
40	-4	249	186
41	-4	248	187
42	-4	248	188
43	-4	249	189
44	-5	250	190
45	-5	249	191
46	-6	249	192
47	-7	250	193
48	-8	252	194
49	-9	253	195
