x	y	intensity	time_series
46	-61	150	1
45	-61	158	2
44	-61	169	3
43	-61	179	4
42	-61	175	5
41	-61	164	6
40	-60	155	7
39	-60	149	8
38	-60	148	9
37	-60	150	10
36	-60	154	11
35	-60	155	12
34	-60	155	13
33	-59	171	14
32	-59	171	15
31	-59	175	16
30	-58	210	17
29	-58	219	18
28	-57	237	19
27	-57	237	20
26	-57	239	21
25	-56	245	22
24	-56	243	23
23	-56	241	24
22	-55	247	25
21	-55	247	26
20	-54	247	27
19	-54	245	28
18	-53	244	29
17	-52	247	30
16	-51	249	31
15	-50	249	32
14	-49	248	33
13	-49	250	34
12	-48	251	35
11	-47	249	36
10	-46	247	37
9	-45	248	38
8	-44	251	39
7	-43	251	40
6	-42	250	41
5	-41	249	42
5	-40	250	43
5	-39	250	44
4	-38	252	45
4	-37	253	46
4	-36	252	47
5	-35	249	48
6	-34	247	49
7	-34	246	50
8	-34	246	51
9	-34	245	52
10	-34	245	53
11	-34	245	54
12	-34	245	55
13	-35	248	56
14	-35	250	57
15	-35	250	58
16	-35	248	59
17	-36	248	60
18	-37	249	61
19	-37	249	62
20	-38	250	63
21	-38	249	64
22	-38	250	65
23	-38	251	66
24	-39	251	67
24	-40	251	68
25	-41	251	69
26	-41	250	70
27	-42	249	71
28	-42	248	72
29	-43	247	73
30	-43	247	74
31	-44	250	75
32	-45	251	76
33	-46	251	77
34	-46	251	78
35	-47	248	79
36	-47	248	80
37	-47	245	81
38	-47	242	82
39	-48	239	83
40	-48	239	84
41	-47	243	85
41	-46	248	86
41	-45	251	87
40	-44	252	88
40	-43	247	89
40	-42	245	90
39	-41	248	91
39	-40	249	92
38	-39	249	93
37	-38	248	94
37	-37	249	95
36	-36	250	96
35	-36	251	97
34	-35	250	98
34	-34	247	99
33	-33	249	100
32	-32	247	101
31	-32	248	102
30	-31	250	103
29	-30	251	104
29	-29	249	105
28	-28	248	106
27	-27	248	107
26	-26	248	108
25	-25	246	109
24	-24	245	110
23	-23	249	111
22	-22	251	112
22	-21	251	113
21	-20	247	114
20	-19	248	115
19	-18	248	116
18	-17	249	117
17	-16	249	118
16	-15	248	119
16	-14	249	120
15	-13	250	121
15	-12	250	122
15	-11	250	123
15	-10	249	124
15	-9	249	125
15	-8	251	126
16	-7	247	127
16	-6	242	128
17	-5	242	129
18	-4	250	130
19	-4	251	131
20	-4	249	132
21	-4	246	133
22	-4	246	134
23	-4	249	135
24	-4	248	136
25	-4	246	137
26	-4	246	138
27	-4	247	139
28	-4	248	140
29	-4	249	141
30	-5	249	142
31	-5	248	143
32	-5	248	144
33	-5	248	145
34	-5	248	146
35	-6	244	147
36	-7	248	148
37	-7	248	149
38	-7	247	150
39	-7	247	151
40	-8	247	152
41	-9	248	153
42	-10	251	154
43	-10	250	155
44	-11	251	156
45	-12	251	157
46	-13	251	158
47	-13	251	159
48	-14	247	160
49	-15	244	161
50	-16	248	162
51	-17	250	163
52	-17	250	164
