x	y	intensity	time_series
4	-54	252	1
5	-54	250	2
6	-54	248	3
7	-54	247	4
8	-54	249	5
9	-54	251	6
10	-54	250	7
11	-54	246	8
12	-54	247	9
13	-54	246	10
14	-54	244	11
15	-54	241	12
16	-54	238	13
17	-54	238	14
18	-55	234	15
19	-55	232	16
20	-56	229	17
21	-56	235	18
22	-56	239	19
23	-56	241	20
24	-56	243	21
25	-56	240	22
26	-56	234	23
27	-56	232	24
28	-57	230	25
29	-57	234	26
30	-57	238	27
31	-57	241	28
32	-57	242	29
33	-57	242	30
34	-57	243	31
35	-57	240	32
36	-58	228	33
37	-58	224	34
38	-58	224	35
39	-58	226	36
40	-58	223	37
41	-58	225	38
42	-58	229	39
43	-58	229	40
44	-57	248	41
45	-57	246	42
46	-57	243	43
47	-57	244	44
48	-57	247	45
49	-57	235	46
50	-57	238	47
51	-57	245	48
52	-57	250	49
53	-56	249	50
53	-55	251	51
53	-54	252	52
53	-53	250	53
53	-52	248	54
53	-51	251	55
52	-50	252	56
52	-49	252	57
51	-48	251	58
50	-47	249	59
49	-46	249	60
48	-45	252	61
47	-44	253	62
46	-43	253	63
45	-42	254	64
44	-42	254	65
43	-41	254	66
42	-40	253	67
41	-39	254	68
40	-38	253	69
39	-38	253	70
38	-37	252	71
37	-36	253	72
36	-36	253	73
35	-35	254	74
34	-35	254	75
33	-35	254	76
32	-35	253	77
31	-34	254	78
30	-34	252	79
29	-34	251	80
28	-33	247	81
27	-33	246	82
26	-32	246	83
25	-32	247	84
24	-31	248	85
23	-30	249	86
22	-30	247	87
21	-29	250	88
20	-28	250	89
19	-27	246	90
18	-26	251	91
17	-26	251	92
16	-25	249	93
16	-24	248	94
16	-23	251	95
15	-22	254	96
15	-21	254	97
15	-20	251	98
15	-19	248	99
15	-18	248	100
16	-17	254	101
17	-16	254	102
17	-15	249	103
17	-14	245	104
18	-13	247	105
19	-13	248	106
20	-12	253	107
21	-12	252	108
22	-12	252	109
