x	y	intensity	time_series
7	-57	252	1
8	-57	252	2
9	-57	252	3
10	-58	251	4
11	-58	242	5
12	-58	222	6
13	-58	219	7
14	-58	228	8
15	-58	222	9
16	-59	149	10
17	-59	142	11
18	-59	141	12
19	-59	140	13
20	-59	136	14
21	-59	135	15
22	-59	131	16
23	-59	124	17
24	-59	121	18
25	-59	121	19
26	-59	122	20
27	-59	122	21
28	-59	123	22
29	-59	122	23
30	-59	122	24
31	-59	123	25
32	-59	127	26
33	-59	131	27
34	-58	169	28
35	-57	221	29
35	-56	233	30
35	-55	235	31
34	-54	238	32
34	-53	245	33
34	-52	245	34
34	-51	247	35
33	-50	248	36
32	-49	249	37
32	-48	250	38
31	-47	251	39
30	-46	251	40
29	-45	252	41
28	-44	252	42
27	-43	251	43
26	-42	251	44
25	-41	251	45
25	-40	251	46
24	-39	251	47
23	-38	253	48
23	-37	251	49
22	-36	249	50
22	-35	250	51
22	-34	251	52
22	-33	252	53
21	-32	252	54
21	-31	249	55
21	-30	251	56
21	-29	252	57
21	-28	252	58
22	-27	251	59
23	-26	250	60
24	-26	251	61
25	-25	251	62
26	-25	251	63
27	-25	250	64
28	-25	249	65
29	-25	249	66
30	-25	250	67
