x	y	intensity	time_series
3	-51	238	1
4	-51	239	2
5	-51	240	3
6	-51	241	4
7	-52	241	5
8	-52	242	6
9	-52	243	7
10	-52	242	8
11	-52	241	9
12	-52	240	10
13	-52	239	11
14	-52	238	12
15	-52	241	13
16	-52	242	14
17	-52	241	15
18	-52	241	16
19	-52	241	17
20	-52	240	18
21	-52	239	19
22	-52	239	20
23	-52	239	21
24	-52	239	22
25	-52	241	23
26	-52	241	24
27	-52	238	25
28	-52	238	26
29	-52	240	27
30	-52	242	28
31	-52	242	29
32	-52	241	30
33	-52	240	31
34	-52	242	32
35	-52	242	33
36	-52	241	34
37	-52	245	35
38	-51	246	36
39	-51	246	37
40	-50	239	38
41	-50	239	39
42	-50	241	40
43	-49	245	41
43	-48	250	42
44	-47	248	43
43	-46	248	44
43	-45	246	45
43	-44	247	46
42	-43	249	47
41	-42	251	48
40	-41	250	49
39	-41	249	50
38	-40	248	51
37	-39	252	52
36	-38	252	53
35	-37	250	54
34	-37	250	55
33	-36	251	56
32	-35	252	57
31	-35	252	58
30	-34	251	59
29	-34	251	60
28	-33	250	61
27	-33	251	62
26	-32	252	63
25	-32	251	64
24	-32	249	65
23	-31	251	66
22	-31	251	67
21	-30	253	68
20	-29	248	69
19	-28	245	70
18	-27	246	71
17	-27	247	72
16	-26	248	73
15	-26	247	74
14	-25	244	75
13	-25	246	76
12	-24	247	77
11	-23	245	78
10	-22	247	79
9	-21	247	80
8	-20	245	81
7	-19	246	82
7	-18	247	83
6	-17	252	84
6	-16	252	85
6	-15	251	86
6	-14	249	87
6	-13	250	88
7	-12	253	89
8	-11	252	90
9	-10	252	91
10	-10	253	92
11	-10	252	93
12	-10	250	94
13	-10	246	95
14	-10	243	96
15	-10	245	97
16	-10	246	98
17	-10	247	99
18	-10	248	100
19	-11	250	101
20	-11	251	102
21	-11	251	103
22	-11	251	104
23	-12	253	105
24	-13	252	106
25	-13	252	107
26	-14	253	108
27	-14	254	109
28	-15	252	110
