x	y	intensity	time_series
2	-46	251	1
3	-46	251	2
4	-46	251	3
5	-45	251	4
6	-45	251	5
7	-45	251	6
8	-45	250	7
9	-45	249	8
10	-45	249	9
11	-45	250	10
12	-45	249	11
13	-45	249	12
14	-45	249	13
15	-45	250	14
16	-45	251	15
17	-46	251	16
18	-46	251	17
19	-46	250	18
20	-46	252	19
21	-46	252	20
22	-47	252	21
23	-47	253	22
24	-47	252	23
25	-47	251	24
26	-47	251	25
27	-47	250	26
28	-47	251	27
29	-47	252	28
30	-48	248	29
31	-48	246	30
32	-48	243	31
33	-48	239	32
34	-49	243	33
35	-49	246	34
36	-49	249	35
37	-49	249	36
38	-49	246	37
39	-49	243	38
40	-49	241	39
41	-49	241	40
42	-49	241	41
43	-49	240	42
44	-48	247	43
45	-47	249	44
44	-46	249	45
44	-45	246	46
43	-44	249	47
43	-43	252	48
42	-42	253	49
41	-41	253	50
40	-40	249	51
39	-39	247	52
38	-38	249	53
37	-38	250	54
36	-38	251	55
35	-37	252	56
34	-36	249	57
33	-35	250	58
32	-35	253	59
31	-34	253	60
30	-33	252	61
29	-33	252	62
28	-32	253	63
27	-31	254	64
26	-30	254	65
25	-30	254	66
24	-29	251	67
23	-29	251	68
22	-28	252	69
21	-27	249	70
20	-27	250	71
19	-26	249	72
18	-26	248	73
17	-25	250	74
16	-25	250	75
15	-24	250	76
14	-23	245	77
13	-23	242	78
12	-22	247	79
11	-22	251	80
10	-21	253	81
10	-20	253	82
9	-19	250	83
8	-18	249	84
8	-17	249	85
7	-16	251	86
7	-15	252	87
7	-14	253	88
7	-13	254	89
8	-12	253	90
9	-11	252	91
10	-11	253	92
11	-11	254	93
12	-11	253	94
13	-11	252	95
14	-11	251	96
15	-11	251	97
16	-11	251	98
17	-12	250	99
18	-12	249	100
19	-12	249	101
20	-12	249	102
21	-12	250	103
22	-13	251	104
23	-14	254	105
24	-15	252	106
25	-15	252	107
26	-15	253	108
27	-16	251	109
28	-17	249	110
