x	y	intensity	time_series
4	-48	245	1
5	-48	246	2
6	-48	246	3
7	-49	247	4
8	-49	245	5
9	-50	245	6
10	-50	245	7
11	-51	245	8
12	-51	246	9
13	-52	247	10
14	-52	247	11
15	-52	246	12
16	-52	245	13
17	-52	245	14
18	-52	243	15
19	-53	243	16
20	-52	243	17
21	-52	243	18
22	-51	244	19
22	-50	244	20
22	-49	245	21
22	-48	245	22
22	-47	244	23
22	-46	244	24
21	-45	245	25
21	-44	246	26
21	-43	247	27
21	-42	247	28
20	-41	246	29
20	-40	245	30
19	-39	245	31
19	-38	244	32
18	-37	244	33
17	-36	243	34
17	-35	242	35
17	-34	240	36
16	-33	242	37
15	-32	248	38
15	-31	244	39
14	-30	243	40
13	-29	242	41
13	-28	240	42
12	-27	239	43
12	-26	238	44
12	-25	238	45
12	-24	238	46
11	-23	238	47
11	-22	238	48
11	-21	238	49
11	-20	238	50
12	-19	238	51
13	-18	238	52
