x	y	intensity	time_series
2	-46	242	1
3	-47	251	2
4	-48	247	3
4	-49	244	4
5	-50	247	5
6	-50	244	6
7	-51	237	7
8	-52	246	8
9	-52	248	9
10	-53	247	10
11	-54	239	11
12	-55	240	12
13	-55	243	13
14	-56	243	14
15	-57	229	15
16	-57	233	16
17	-57	233	17
18	-57	229	18
19	-58	186	19
20	-58	171	20
21	-59	137	21
22	-59	139	22
23	-60	131	23
24	-60	125	24
25	-60	131	25
26	-60	141	26
27	-60	148	27
28	-61	153	28
29	-61	156	29
30	-61	163	30
31	-61	165	31
32	-61	162	32
33	-61	154	33
34	-60	151	34
35	-59	150	35
35	-58	150	36
36	-57	170	37
36	-56	193	38
36	-55	222	39
36	-54	234	40
36	-53	237	41
36	-52	235	42
36	-51	234	43
35	-50	236	44
35	-49	240	45
34	-48	242	46
34	-47	244	47
33	-46	244	48
33	-45	245	49
32	-44	245	50
31	-43	247	51
31	-42	247	52
30	-41	246	53
29	-40	245	54
28	-39	243	55
28	-38	248	56
27	-37	247	57
26	-36	246	58
26	-35	244	59
25	-34	243	60
24	-34	245	61
23	-33	239	62
22	-32	238	63
21	-31	237	64
21	-30	238	65
20	-29	247	66
19	-28	248	67
18	-27	245	68
18	-26	244	69
18	-25	245	70
17	-24	248	71
17	-23	245	72
17	-22	241	73
17	-21	240	74
17	-20	242	75
18	-20	241	76
19	-20	240	77
20	-20	240	78
21	-20	241	79
22	-21	239	80
23	-21	239	81
24	-21	239	82
25	-22	242	83
26	-23	244	84
27	-24	243	85
28	-25	238	86
