x	y	intensity	time_series
2	-47	242	1
3	-47	240	2
4	-47	238	3
5	-47	238	4
6	-48	241	5
7	-48	242	6
8	-48	241	7
9	-48	240	8
10	-48	238	9
11	-48	236	10
12	-48	236	11
13	-48	236	12
14	-48	234	13
15	-49	227	14
16	-49	225	15
17	-50	226	16
18	-50	227	17
19	-50	229	18
20	-51	234	19
21	-51	236	20
22	-51	237	21
23	-51	238	22
24	-51	237	23
25	-51	235	24
26	-51	232	25
27	-51	231	26
28	-51	231	27
29	-51	233	28
30	-51	235	29
31	-51	235	30
32	-51	234	31
33	-51	235	32
34	-51	235	33
35	-52	232	34
36	-51	234	35
37	-51	232	36
38	-51	231	37
39	-51	232	38
40	-51	233	39
41	-51	236	40
42	-50	237	41
43	-49	234	42
44	-48	236	43
44	-47	239	44
44	-46	238	45
44	-45	237	46
44	-44	237	47
44	-43	242	48
44	-42	244	49
44	-41	244	50
43	-40	239	51
42	-39	244	52
42	-38	248	53
41	-37	248	54
40	-36	246	55
40	-35	247	56
40	-34	245	57
39	-33	244	58
38	-32	246	59
37	-31	249	60
36	-30	247	61
36	-29	245	62
35	-28	242	63
34	-27	242	64
33	-26	244	65
32	-26	245	66
31	-25	246	67
30	-24	245	68
29	-23	244	69
29	-22	243	70
29	-21	244	71
29	-20	244	72
28	-19	245	73
28	-18	245	74
28	-17	245	75
28	-16	244	76
28	-15	243	77
28	-14	244	78
29	-13	247	79
30	-13	245	80
31	-12	247	81
32	-11	244	82
33	-11	244	83
34	-11	245	84
35	-11	245	85
36	-11	245	86
37	-11	245	87
38	-11	245	88
39	-10	243	89
40	-10	243	90
41	-10	245	91
42	-10	245	92
43	-10	243	93
44	-11	242	94
45	-11	241	95
46	-11	241	96
47	-11	241	97
48	-11	243	98
49	-11	245	99
50	-11	248	100
51	-12	246	101
52	-12	246	102
53	-13	247	103
54	-14	247	104
55	-15	246	105
56	-15	246	106
