x	y	intensity	time_series
4	-42	245	1
5	-43	244	2
6	-44	245	3
6	-45	245	4
7	-46	244	5
8	-47	241	6
9	-48	240	7
9	-49	240	8
10	-50	243	9
11	-51	242	10
12	-52	237	11
13	-53	234	12
14	-54	236	13
15	-55	232	14
16	-56	230	15
17	-57	231	16
18	-57	230	17
19	-57	229	18
20	-57	226	19
21	-57	221	20
22	-58	198	21
23	-58	189	22
24	-57	202	23
24	-56	216	24
24	-55	224	25
24	-54	226	26
23	-53	227	27
23	-52	229	28
23	-51	232	29
23	-50	238	30
22	-49	242	31
22	-48	241	32
21	-47	243	33
21	-46	245	34
20	-45	248	35
20	-44	247	36
19	-43	243	37
18	-42	245	38
17	-41	250	39
17	-40	248	40
16	-39	247	41
15	-38	245	42
15	-37	246	43
14	-36	246	44
13	-35	247	45
12	-34	246	46
12	-33	246	47
11	-32	245	48
11	-31	246	49
10	-30	247	50
9	-29	248	51
8	-28	247	52
8	-27	249	53
8	-26	249	54
7	-25	248	55
6	-24	248	56
6	-23	247	57
6	-22	248	58
5	-21	247	59
4	-20	246	60
4	-19	245	61
4	-18	245	62
4	-17	245	63
4	-16	245	64
4	-15	244	65
4	-14	244	66
4	-13	245	67
4	-12	246	68
4	-11	246	69
4	-10	244	70
5	-9	243	71
6	-9	242	72
7	-9	242	73
