x	y	intensity	time_series
4	-39	245	1
5	-40	241	2
6	-40	239	3
7	-40	239	4
8	-40	240	5
9	-41	241	6
10	-41	244	7
11	-42	244	8
12	-43	241	9
13	-43	241	10
14	-44	242	11
15	-44	242	12
16	-45	243	13
17	-45	243	14
18	-46	241	15
19	-46	238	16
20	-47	234	17
21	-47	232	18
22	-48	233	19
23	-48	233	20
24	-48	233	21
25	-48	234	22
26	-49	235	23
27	-49	236	24
28	-50	232	25
29	-50	232	26
30	-50	231	27
31	-50	229	28
32	-50	225	29
33	-50	224	30
34	-50	226	31
35	-51	229	32
36	-51	230	33
37	-52	231	34
38	-52	231	35
39	-52	230	36
40	-52	231	37
41	-52	231	38
42	-52	232	39
43	-52	232	40
44	-53	233	41
45	-52	234	42
46	-51	235	43
47	-50	232	44
47	-49	230	45
47	-48	231	46
47	-47	231	47
47	-46	232	48
47	-45	234	49
46	-44	237	50
46	-43	239	51
46	-42	241	52
45	-41	243	53
45	-40	244	54
44	-39	243	55
44	-38	243	56
43	-37	242	57
42	-36	242	58
41	-35	242	59
41	-34	244	60
40	-33	246	61
39	-32	245	62
38	-31	243	63
38	-30	242	64
37	-29	242	65
37	-28	238	66
36	-27	236	67
35	-26	236	68
34	-25	238	69
33	-24	238	70
33	-23	236	71
32	-22	237	72
31	-21	239	73
31	-20	242	74
30	-19	241	75
30	-18	242	76
30	-17	244	77
29	-16	245	78
29	-15	245	79
29	-14	244	80
29	-13	244	81
30	-12	248	82
30	-11	246	83
30	-10	242	84
31	-9	235	85
32	-8	240	86
33	-7	241	87
34	-6	240	88
35	-6	241	89
36	-6	242	90
37	-5	241	91
38	-5	243	92
39	-5	244	93
40	-6	247	94
41	-6	247	95
42	-6	246	96
43	-7	247	97
44	-7	248	98
45	-7	249	99
46	-8	248	100
47	-8	249	101
48	-9	247	102
49	-9	245	103
50	-9	243	104
50	-10	245	105
51	-11	244	106
51	-12	243	107
51	-13	243	108
51	-14	243	109
51	-15	247	110
51	-16	248	111
51	-17	247	112
52	-18	244	113
52	-19	243	114
52	-20	243	115
52	-21	243	116
52	-22	244	117
52	-23	244	118
52	-24	246	119
52	-25	247	120
52	-26	247	121
52	-27	243	122
52	-28	238	123
52	-29	244	124
52	-30	246	125
