x	y	intensity	time_series
3	-51	240	1
4	-51	239	2
5	-51	239	3
6	-50	241	4
7	-50	243	5
8	-50	245	6
9	-50	247	7
10	-50	249	8
11	-50	250	9
12	-50	248	10
13	-50	247	11
14	-50	246	12
15	-50	246	13
16	-49	245	14
17	-49	245	15
18	-49	246	16
19	-48	246	17
20	-48	248	18
21	-48	249	19
22	-48	250	20
23	-47	248	21
24	-47	246	22
25	-47	244	23
26	-47	243	24
27	-47	243	25
28	-47	243	26
29	-47	244	27
30	-46	247	28
31	-46	247	29
32	-46	249	30
33	-46	251	31
34	-47	249	32
35	-47	250	33
36	-47	249	34
37	-47	247	35
38	-47	245	36
39	-47	244	37
40	-46	245	38
41	-46	246	39
42	-46	247	40
43	-46	247	41
44	-46	245	42
45	-46	244	43
46	-46	243	44
47	-46	243	45
48	-45	248	46
48	-44	250	47
49	-43	248	48
49	-42	248	49
49	-41	250	50
48	-40	250	51
48	-39	250	52
48	-38	250	53
47	-37	250	54
47	-36	250	55
46	-35	250	56
45	-34	248	57
45	-33	248	58
44	-32	248	59
43	-32	247	60
42	-31	247	61
41	-30	247	62
40	-29	248	63
39	-28	249	64
38	-27	250	65
37	-27	249	66
36	-26	248	67
35	-25	247	68
34	-24	250	69
33	-23	250	70
32	-22	246	71
32	-21	244	72
31	-20	245	73
31	-19	246	74
30	-18	247	75
30	-17	246	76
30	-16	247	77
30	-15	247	78
31	-14	247	79
32	-13	247	80
33	-13	250	81
34	-12	251	82
35	-12	251	83
36	-12	250	84
37	-11	251	85
38	-11	252	86
39	-11	253	87
40	-11	252	88
41	-11	249	89
42	-12	249	90
43	-12	249	91
44	-13	250	92
