x	y	intensity	time_series
3	-53	246	1
4	-53	246	2
5	-53	247	3
6	-53	247	4
7	-53	247	5
8	-53	247	6
9	-53	247	7
10	-54	247	8
11	-54	248	9
12	-54	248	10
13	-54	249	11
13	-55	248	12
14	-56	246	13
14	-57	242	14
14	-58	235	15
15	-59	221	16
16	-60	212	17
17	-61	204	18
18	-61	201	19
19	-61	198	20
20	-61	196	21
21	-61	193	22
22	-61	190	23
23	-62	170	24
24	-62	167	25
25	-62	170	26
26	-62	172	27
27	-62	174	28
28	-63	173	29
29	-63	174	30
30	-63	175	31
31	-63	180	32
32	-63	191	33
33	-63	195	34
34	-64	215	35
35	-64	216	36
36	-64	220	37
37	-64	227	38
38	-65	237	39
39	-65	238	40
40	-65	238	41
41	-65	238	42
42	-65	240	43
43	-65	244	44
44	-65	246	45
45	-65	242	46
46	-66	238	47
47	-66	228	48
48	-66	216	49
49	-66	204	50
50	-66	198	51
51	-66	195	52
52	-66	193	53
53	-66	189	54
54	-65	182	55
55	-64	177	56
55	-63	176	57
55	-62	176	58
54	-61	181	59
54	-60	173	60
53	-59	166	61
52	-58	174	62
52	-57	184	63
51	-56	187	64
50	-55	199	65
49	-55	202	66
48	-54	230	67
47	-53	247	68
46	-52	245	69
46	-51	244	70
45	-50	247	71
44	-50	248	72
43	-49	250	73
42	-48	251	74
41	-47	252	75
40	-46	249	76
39	-45	251	77
38	-44	253	78
37	-44	253	79
36	-43	253	80
35	-42	252	81
34	-41	251	82
33	-40	253	83
32	-39	254	84
31	-38	254	85
30	-37	253	86
29	-36	251	87
28	-35	252	88
28	-34	253	89
27	-33	254	90
26	-32	253	91
25	-31	252	92
25	-30	252	93
24	-29	253	94
23	-28	253	95
22	-27	253	96
21	-26	254	97
21	-25	252	98
20	-24	252	99
20	-23	253	100
19	-22	254	101
19	-21	252	102
18	-20	251	103
18	-19	252	104
18	-18	253	105
18	-17	252	106
18	-16	253	107
18	-15	253	108
17	-14	253	109
17	-13	253	110
18	-12	252	111
18	-11	252	112
18	-10	252	113
19	-9	253	114
20	-8	253	115
21	-8	253	116
22	-7	254	117
23	-7	253	118
24	-7	253	119
25	-6	254	120
26	-6	254	121
27	-6	254	122
28	-6	254	123
29	-7	253	124
30	-7	253	125
31	-7	252	126
32	-7	252	127
33	-6	252	128
34	-6	252	129
35	-6	252	130
36	-7	251	131
37	-7	250	132
38	-7	250	133
39	-7	250	134
40	-8	251	135
41	-8	252	136
42	-8	252	137
43	-8	252	138
44	-9	254	139
45	-10	254	140
46	-10	254	141
47	-10	254	142
48	-11	254	143
49	-11	254	144
50	-12	254	145
51	-13	254	146
52	-14	253	147
