x	y	intensity	time_series
3	-47	248	1
4	-47	248	2
5	-47	250	3
6	-48	251	4
7	-48	249	5
8	-48	248	6
9	-48	251	7
10	-49	251	8
11	-49	250	9
12	-49	249	10
13	-50	248	11
14	-50	245	12
15	-51	244	13
16	-51	244	14
17	-51	245	15
18	-52	249	16
19	-52	248	17
20	-52	247	18
21	-52	247	19
22	-52	246	20
23	-52	245	21
24	-52	245	22
25	-53	239	23
26	-53	238	24
27	-53	237	25
28	-53	238	26
29	-53	243	27
30	-53	245	28
31	-53	245	29
32	-53	244	30
33	-53	243	31
34	-53	243	32
35	-53	246	33
36	-54	242	34
37	-54	240	35
38	-54	238	36
39	-54	238	37
40	-54	240	38
41	-53	248	39
42	-53	247	40
43	-54	245	41
44	-54	244	42
45	-54	242	43
46	-54	240	44
47	-54	240	45
48	-54	240	46
49	-54	241	47
50	-53	250	48
51	-53	248	49
52	-53	247	50
53	-52	244	51
54	-51	244	52
54	-50	247	53
54	-49	250	54
53	-48	251	55
53	-47	252	56
52	-46	251	57
51	-46	251	58
50	-45	252	59
49	-44	251	60
48	-44	250	61
47	-43	251	62
46	-42	251	63
45	-42	251	64
44	-42	251	65
43	-41	252	66
42	-40	252	67
41	-40	252	68
40	-39	252	69
39	-39	252	70
38	-38	252	71
37	-38	251	72
36	-37	249	73
35	-37	249	74
34	-36	251	75
33	-36	252	76
32	-35	252	77
31	-35	253	78
30	-34	253	79
29	-34	253	80
28	-33	252	81
27	-33	252	82
26	-32	250	83
25	-32	250	84
24	-31	251	85
23	-31	251	86
22	-31	252	87
21	-30	252	88
21	-29	251	89
20	-28	250	90
19	-28	250	91
18	-28	249	92
17	-27	250	93
16	-26	254	94
15	-26	254	95
14	-25	253	96
13	-24	252	97
12	-24	253	98
11	-23	254	99
11	-22	252	100
10	-21	252	101
9	-20	253	102
9	-19	252	103
8	-18	252	104
8	-17	252	105
8	-16	252	106
8	-15	252	107
8	-14	252	108
9	-13	251	109
10	-12	250	110
11	-11	250	111
11	-10	250	112
12	-9	249	113
13	-9	249	114
14	-9	250	115
15	-8	252	116
16	-8	252	117
17	-8	251	118
18	-7	252	119
19	-7	250	120
20	-6	248	121
21	-6	248	122
22	-6	249	123
23	-6	249	124
24	-6	250	125
25	-6	250	126
26	-6	250	127
27	-6	250	128
28	-6	249	129
29	-6	251	130
30	-6	251	131
31	-6	252	132
32	-6	252	133
33	-6	252	134
34	-6	251	135
35	-6	249	136
36	-6	249	137
37	-6	249	138
38	-6	249	139
39	-6	250	140
40	-6	252	141
41	-6	251	142
42	-7	251	143
43	-7	251	144
44	-8	252	145
45	-8	252	146
46	-8	252	147
47	-8	252	148
48	-9	253	149
49	-10	252	150
50	-11	253	151
51	-11	253	152
52	-12	252	153
53	-12	252	154
54	-13	251	155
55	-14	252	156
56	-14	252	157
57	-14	252	158
