x	y	intensity	time_series
3	-49	244	1
4	-49	244	2
5	-50	243	3
6	-51	241	4
7	-52	240	5
7	-53	240	6
8	-54	237	7
9	-54	236	8
10	-55	234	9
11	-56	229	10
12	-56	227	11
13	-57	214	12
14	-57	203	13
15	-58	164	14
16	-58	162	15
17	-58	153	16
18	-59	131	17
19	-59	126	18
20	-59	120	19
21	-59	114	20
22	-59	105	21
23	-59	98	22
24	-59	94	23
25	-59	95	24
26	-60	80	25
27	-60	82	26
28	-60	84	27
29	-60	85	28
30	-60	81	29
31	-60	82	30
32	-60	87	31
33	-59	109	32
34	-59	109	33
35	-59	108	34
36	-58	126	35
37	-57	164	36
38	-57	184	37
39	-56	224	38
40	-56	227	39
41	-56	229	40
42	-56	232	41
43	-55	240	42
44	-54	241	43
44	-53	241	44
45	-52	241	45
45	-51	243	46
46	-50	245	47
46	-49	242	48
47	-48	241	49
46	-47	241	50
46	-46	250	51
46	-45	252	52
46	-44	249	53
45	-43	248	54
44	-42	251	55
43	-41	246	56
42	-40	247	57
41	-40	247	58
40	-39	249	59
39	-38	248	60
38	-38	249	61
37	-37	249	62
36	-37	251	63
35	-37	251	64
34	-36	247	65
33	-36	246	66
32	-36	247	67
31	-35	248	68
30	-35	248	69
29	-35	248	70
28	-34	248	71
27	-34	249	72
26	-33	250	73
25	-33	251	74
24	-33	251	75
23	-33	250	76
22	-32	249	77
21	-32	249	78
20	-32	249	79
19	-31	249	80
18	-31	248	81
17	-31	247	82
16	-31	246	83
15	-30	247	84
14	-30	248	85
13	-30	249	86
12	-29	249	87
11	-28	251	88
10	-28	251	89
9	-27	251	90
8	-26	251	91
8	-25	250	92
7	-24	251	93
7	-23	252	94
7	-22	251	95
8	-21	248	96
8	-20	248	97
9	-19	249	98
9	-18	248	99
10	-17	248	100
11	-16	248	101
12	-16	249	102
13	-15	248	103
14	-15	249	104
15	-15	249	105
16	-15	250	106
17	-15	250	107
18	-15	251	108
19	-14	251	109
20	-14	251	110
21	-14	250	111
22	-15	249	112
23	-15	249	113
24	-15	248	114
25	-16	248	115
26	-16	248	116
27	-17	250	117
28	-17	250	118
29	-17	249	119
30	-18	250	120
31	-18	250	121
32	-18	250	122
33	-18	251	123
34	-19	251	124
