x	y	intensity	time_series
8	-52	243	1
9	-53	240	2
10	-53	241	3
11	-54	236	4
12	-54	238	5
13	-54	239	6
14	-54	241	7
15	-54	238	8
16	-55	233	9
17	-55	236	10
18	-55	238	11
19	-55	238	12
20	-55	239	13
21	-55	238	14
22	-55	238	15
23	-55	235	16
24	-55	232	17
25	-55	228	18
26	-55	227	19
27	-55	229	20
28	-55	231	21
29	-55	231	22
30	-55	232	23
31	-55	233	24
32	-55	236	25
33	-55	237	26
34	-55	237	27
35	-55	236	28
36	-54	238	29
37	-54	237	30
38	-54	236	31
39	-54	236	32
40	-54	237	33
41	-53	241	34
42	-53	237	35
43	-52	236	36
44	-52	238	37
45	-51	241	38
46	-50	242	39
47	-49	242	40
47	-48	243	41
47	-47	245	42
47	-46	247	43
47	-45	249	44
47	-44	249	45
46	-43	249	46
46	-42	249	47
46	-41	250	48
46	-40	250	49
45	-39	253	50
44	-38	253	51
43	-37	251	52
43	-36	250	53
42	-35	250	54
41	-35	251	55
40	-34	250	56
39	-33	250	57
38	-32	250	58
37	-32	250	59
36	-31	250	60
35	-31	249	61
34	-30	247	62
33	-30	248	63
32	-30	249	64
31	-30	249	65
30	-29	249	66
29	-28	250	67
28	-28	250	68
27	-27	251	69
26	-27	251	70
25	-26	250	71
24	-26	250	72
23	-25	252	73
22	-25	252	74
21	-25	251	75
20	-24	251	76
19	-24	250	77
18	-24	250	78
17	-23	250	79
16	-22	250	80
15	-22	250	81
14	-21	251	82
13	-20	250	83
13	-19	250	84
13	-18	250	85
13	-17	251	86
12	-16	252	87
12	-15	252	88
12	-14	251	89
12	-13	249	90
13	-12	250	91
14	-11	252	92
15	-11	248	93
16	-11	246	94
17	-11	247	95
18	-11	248	96
19	-12	248	97
20	-12	248	98
21	-12	247	99
22	-12	247	100
23	-12	247	101
24	-13	248	102
25	-13	248	103
26	-13	248	104
27	-13	249	105
28	-13	250	106
