x	y	intensity	time_series
14	-53	235	1
14	-52	234	2
15	-51	236	3
16	-51	234	4
17	-51	231	5
18	-51	230	6
19	-51	230	7
20	-51	229	8
21	-51	229	9
22	-51	232	10
23	-51	234	11
24	-51	233	12
25	-51	231	13
26	-51	229	14
27	-51	229	15
28	-51	230	16
29	-51	230	17
30	-52	232	18
31	-52	231	19
32	-52	230	20
33	-52	231	21
34	-53	229	22
35	-53	231	23
36	-53	233	24
37	-53	234	25
38	-53	234	26
39	-53	234	27
40	-54	229	28
41	-54	230	29
42	-54	233	30
43	-54	237	31
44	-53	235	32
45	-53	232	33
46	-52	238	34
46	-51	241	35
45	-50	244	36
45	-49	245	37
45	-48	244	38
44	-47	243	39
44	-46	244	40
43	-45	248	41
42	-45	250	42
41	-44	250	43
40	-43	251	44
39	-43	252	45
38	-42	248	46
37	-42	249	47
36	-41	247	48
35	-41	247	49
34	-40	246	50
33	-39	250	51
32	-39	251	52
31	-38	252	53
30	-37	251	54
29	-36	251	55
28	-36	252	56
27	-35	253	57
26	-34	253	58
25	-34	251	59
24	-34	248	60
23	-33	248	61
22	-32	250	62
21	-32	251	63
20	-31	251	64
19	-31	251	65
18	-31	250	66
17	-30	248	67
16	-30	249	68
15	-30	251	69
14	-29	252	70
13	-29	253	71
12	-28	253	72
11	-27	251	73
10	-26	247	74
9	-25	246	75
8	-24	251	76
7	-23	250	77
7	-22	250	78
7	-21	251	79
7	-20	251	80
7	-19	252	81
7	-18	251	82
7	-17	251	83
8	-16	250	84
9	-15	251	85
10	-14	251	86
