x	y	intensity	time_series
2	-57	229	1
3	-57	229	2
4	-58	229	3
5	-58	229	4
6	-58	228	5
7	-58	226	6
8	-58	213	7
9	-58	168	8
10	-58	125	9
11	-59	116	10
12	-59	114	11
13	-59	105	12
14	-59	98	13
15	-60	91	14
16	-60	96	15
17	-61	110	16
18	-61	108	17
19	-61	105	18
20	-61	95	19
21	-61	102	20
22	-61	107	21
23	-61	107	22
24	-61	107	23
25	-61	101	24
26	-61	94	25
27	-61	93	26
28	-61	97	27
29	-61	109	28
30	-61	120	29
31	-61	130	30
32	-61	136	31
33	-61	137	32
34	-61	139	33
35	-60	134	34
36	-60	137	35
37	-59	133	36
38	-58	147	37
38	-57	167	38
39	-56	209	39
39	-55	219	40
39	-54	221	41
39	-53	224	42
38	-52	233	43
38	-51	235	44
38	-50	233	45
38	-49	237	46
37	-48	240	47
36	-47	242	48
36	-46	241	49
35	-45	241	50
34	-44	243	51
33	-43	247	52
32	-42	246	53
31	-41	242	54
30	-40	247	55
29	-39	249	56
28	-38	240	57
27	-37	232	58
26	-36	229	59
25	-36	229	60
24	-35	229	61
24	-34	229	62
23	-33	229	63
22	-33	229	64
21	-32	229	65
20	-31	229	66
19	-31	229	67
18	-30	229	68
17	-29	228	69
16	-28	227	70
15	-27	239	71
14	-27	241	72
13	-26	246	73
12	-25	247	74
11	-24	247	75
11	-23	246	76
11	-22	246	77
11	-21	246	78
10	-20	246	79
10	-19	245	80
10	-18	245	81
10	-17	247	82
11	-16	243	83
11	-15	243	84
12	-14	245	85
13	-14	246	86
14	-14	246	87
15	-14	245	88
16	-14	244	89
17	-15	242	90
18	-15	243	91
19	-16	250	92
20	-17	248	93
