x	y	intensity	time_series
4	-49	250	1
5	-49	250	2
6	-49	250	3
7	-50	244	4
8	-50	243	5
9	-50	243	6
10	-50	242	7
11	-51	239	8
12	-51	237	9
13	-51	237	10
14	-51	239	11
15	-51	240	12
16	-52	242	13
17	-52	240	14
18	-52	239	15
19	-52	243	16
20	-53	242	17
21	-53	241	18
22	-53	239	19
23	-53	239	20
24	-53	240	21
25	-54	238	22
26	-54	238	23
27	-54	237	24
28	-54	237	25
29	-54	240	26
30	-55	241	27
31	-55	243	28
32	-54	247	29
33	-53	249	30
33	-52	246	31
33	-51	244	32
32	-50	242	33
32	-49	246	34
32	-48	248	35
31	-47	248	36
31	-46	245	37
30	-45	244	38
29	-45	246	39
28	-44	248	40
27	-43	251	41
26	-42	253	42
25	-41	252	43
24	-40	249	44
23	-39	245	45
22	-39	245	46
21	-38	248	47
20	-37	249	48
19	-37	250	49
18	-36	251	50
17	-35	251	51
16	-34	248	52
15	-33	247	53
14	-32	248	54
13	-31	251	55
12	-30	251	56
12	-29	246	57
11	-28	248	58
10	-27	250	59
10	-26	229	60
9	-25	229	61
9	-24	229	62
8	-23	229	63
8	-22	229	64
8	-21	229	65
8	-20	229	66
8	-19	230	67
8	-18	248	68
8	-17	251	69
8	-16	251	70
8	-15	249	71
8	-14	247	72
9	-13	247	73
10	-12	249	74
11	-11	249	75
12	-10	251	76
13	-9	251	77
14	-9	250	78
15	-9	248	79
