x	y	intensity	time_series
4	-54	242	1
5	-54	243	2
6	-54	244	3
7	-54	243	4
8	-54	241	5
9	-54	239	6
10	-54	237	7
11	-55	236	8
12	-55	238	9
13	-55	239	10
14	-55	241	11
15	-55	241	12
16	-55	241	13
17	-55	241	14
18	-55	240	15
19	-55	240	16
20	-55	241	17
21	-55	241	18
22	-55	239	19
23	-55	238	20
24	-55	238	21
25	-55	239	22
26	-54	241	23
27	-54	242	24
28	-53	244	25
29	-52	242	26
29	-51	243	27
29	-50	242	28
30	-49	241	29
30	-48	244	30
30	-47	246	31
29	-46	245	32
29	-45	245	33
29	-44	245	34
28	-43	247	35
27	-42	246	36
26	-41	243	37
25	-40	242	38
24	-39	244	39
23	-38	247	40
22	-37	246	41
21	-37	247	42
20	-36	246	43
19	-35	245	44
18	-34	244	45
17	-33	246	46
16	-32	248	47
15	-31	250	48
14	-31	250	49
13	-30	249	50
12	-29	245	51
11	-28	248	52
10	-27	247	53
10	-26	247	54
9	-25	249	55
8	-24	248	56
7	-23	246	57
6	-22	244	58
6	-21	242	59
6	-20	242	60
6	-19	250	61
6	-18	246	62
6	-17	244	63
6	-16	247	64
7	-15	251	65
8	-14	247	66
9	-14	245	67
10	-14	244	68
11	-14	243	69
12	-14	243	70
13	-14	244	71
14	-15	245	72
15	-15	247	73
16	-16	249	74
16	-17	250	75
17	-18	250	76
