x	y	intensity	time_series
3	-53	229	1
4	-54	229	2
5	-54	229	3
6	-54	229	4
7	-54	230	5
8	-54	235	6
9	-54	236	7
10	-54	235	8
11	-54	235	9
12	-55	233	10
13	-55	234	11
14	-55	234	12
15	-56	228	13
16	-56	229	14
17	-56	229	15
18	-56	229	16
19	-57	226	17
20	-57	230	18
21	-57	230	19
22	-57	229	20
23	-57	229	21
24	-57	229	22
25	-58	212	23
26	-58	204	24
27	-58	196	25
28	-58	189	26
29	-58	188	27
30	-58	174	28
31	-59	132	29
32	-59	131	30
33	-59	125	31
34	-59	116	32
35	-59	113	33
36	-59	115	34
37	-60	120	35
38	-60	118	36
39	-60	113	37
40	-60	115	38
41	-60	117	39
42	-60	118	40
43	-60	116	41
44	-60	112	42
45	-60	112	43
46	-60	114	44
47	-60	118	45
48	-59	127	46
49	-58	140	47
49	-57	166	48
49	-56	206	49
49	-55	224	50
48	-54	234	51
47	-53	239	52
46	-52	241	53
45	-51	237	54
44	-50	243	55
43	-50	245	56
42	-49	249	57
41	-48	246	58
40	-48	245	59
39	-47	246	60
38	-46	246	61
37	-46	246	62
36	-45	247	63
35	-44	250	64
34	-44	250	65
33	-43	249	66
32	-42	248	67
31	-42	248	68
30	-41	249	69
29	-41	250	70
28	-40	250	71
27	-39	250	72
26	-39	250	73
25	-39	250	74
24	-38	247	75
23	-38	247	76
22	-37	248	77
21	-37	249	78
20	-36	248	79
19	-36	249	80
18	-36	250	81
17	-35	249	82
16	-34	245	83
15	-34	243	84
14	-34	244	85
13	-33	245	86
12	-33	247	87
11	-32	249	88
10	-31	246	89
9	-31	247	90
8	-30	247	91
7	-29	247	92
6	-28	248	93
6	-27	247	94
6	-26	245	95
5	-25	243	96
5	-24	239	97
5	-23	234	98
6	-22	235	99
6	-21	239	100
7	-20	245	101
8	-19	245	102
9	-19	244	103
10	-19	241	104
11	-19	240	105
12	-19	239	106
13	-19	239	107
14	-19	239	108
15	-19	240	109
16	-19	241	110
17	-19	241	111
18	-20	241	112
19	-20	241	113
20	-20	240	114
21	-20	241	115
22	-20	242	116
23	-21	241	117
24	-21	241	118
25	-21	241	119
26	-22	238	120
