x	y	intensity	time_series
40	-40	229	1
40	-39	229	2
40	-38	229	3
39	-37	229	4
38	-37	229	5
37	-36	229	6
36	-35	229	7
35	-35	229	8
34	-34	230	9
33	-33	242	10
32	-32	245	11
31	-31	244	12
30	-30	243	13
29	-30	242	14
28	-29	249	15
27	-29	248	16
26	-28	246	17
25	-27	245	18
24	-27	245	19
23	-26	249	20
22	-26	248	21
21	-25	249	22
20	-24	249	23
19	-23	250	24
18	-23	250	25
17	-22	247	26
16	-21	245	27
15	-20	251	28
14	-19	251	29
13	-18	250	30
12	-17	248	31
12	-16	247	32
12	-15	246	33
12	-14	246	34
12	-13	247	35
12	-12	249	36
12	-11	251	37
12	-10	250	38
12	-9	249	39
13	-8	246	40
14	-7	244	41
15	-7	243	42
16	-7	242	43
17	-7	243	44
18	-7	244	45
19	-7	247	46
