x	y	intensity	time_series
2	-55	250	1
3	-55	250	2
4	-55	250	3
5	-55	249	4
6	-56	247	5
7	-56	246	6
8	-56	245	7
9	-56	244	8
10	-56	245	9
11	-57	244	10
12	-57	244	11
13	-57	244	12
14	-57	243	13
15	-57	242	14
16	-57	243	15
17	-57	243	16
18	-57	239	17
19	-56	245	18
20	-56	244	19
21	-56	243	20
22	-56	244	21
23	-56	245	22
24	-56	246	23
25	-56	246	24
26	-56	244	25
27	-56	242	26
28	-56	244	27
29	-56	244	28
30	-56	244	29
31	-56	243	30
32	-56	243	31
33	-56	244	32
34	-56	245	33
35	-56	246	34
36	-56	247	35
37	-56	248	36
38	-56	248	37
39	-56	248	38
40	-56	246	39
41	-56	245	40
42	-56	245	41
43	-55	246	42
44	-54	246	43
44	-53	246	44
44	-52	247	45
43	-51	249	46
43	-50	249	47
43	-49	248	48
42	-48	245	49
41	-47	244	50
40	-46	243	51
39	-45	245	52
38	-44	243	53
37	-44	240	54
36	-43	239	55
35	-43	239	56
34	-42	238	57
33	-42	236	58
32	-41	235	59
31	-41	235	60
30	-41	237	61
29	-40	242	62
28	-39	243	63
27	-39	242	64
26	-38	242	65
25	-38	240	66
24	-38	238	67
23	-37	238	68
22	-37	238	69
21	-36	237	70
20	-36	238	71
19	-35	239	72
18	-35	240	73
17	-34	237	74
16	-34	239	75
15	-33	238	76
14	-33	239	77
13	-32	237	78
12	-31	235	79
11	-30	237	80
10	-29	240	81
9	-28	245	82
9	-27	235	83
8	-26	236	84
8	-25	237	85
8	-24	237	86
9	-23	240	87
10	-22	237	88
11	-22	234	89
12	-22	233	90
13	-22	234	91
14	-22	236	92
15	-22	238	93
16	-22	239	94
17	-22	239	95
18	-23	244	96
19	-23	245	97
20	-23	246	98
21	-23	246	99
22	-24	243	100
23	-24	241	101
24	-24	240	102
25	-25	236	103
26	-25	235	104
27	-25	235	105
28	-26	236	106
